平均相對濕度(百分比) - 長洲
Mean Relative Humidity (%) - Cheung Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,70,C
2023,1,3,74,C
2023,1,4,79,C
2023,1,5,81,C
2023,1,6,73,C
2023,1,7,63,C
2023,1,8,56,C
2023,1,9,77,C
2023,1,10,99,C
2023,1,11,93,C
2023,1,12,92,C
2023,1,13,99,C
2023,1,14,97,C
2023,1,15,86,C
2023,1,16,71,C
2023,1,17,78,C
2023,1,18,62,C
2023,1,19,70,C
2023,1,20,66,C
2023,1,21,82,C
2023,1,22,88,C
2023,1,23,92,C
2023,1,24,56,C
2023,1,25,59,C
2023,1,26,73,C
2023,1,27,52,C
2023,1,28,36,C
2023,1,29,37,C
2023,1,30,53,C
2023,1,31,65,C
2023,2,1,82,C
2023,2,2,83,C
2023,2,3,81,C
2023,2,4,86,C
2023,2,5,87,C
2023,2,6,88,C
2023,2,7,90,C
2023,2,8,89,C
2023,2,9,88,C
2023,2,10,92,C
2023,2,11,95,C
2023,2,12,94,C
2023,2,13,91,C
2023,2,14,71,C
2023,2,15,64,C
2023,2,16,66,C
2023,2,17,75,C
2023,2,18,74,C
2023,2,19,72,C
2023,2,20,71,C
2023,2,21,67,C
2023,2,22,66,C
2023,2,23,74,C
2023,2,24,73,C
2023,2,25,57,C
2023,2,26,62,C
2023,2,27,64,C
2023,2,28,74,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
