平均相對濕度(百分比) - 香港國際機場 
Mean Relative Humidity (%) - Hong Kong International Airport 
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,60,C
2023,1,2,59,C
2023,1,3,66,C
2023,1,4,67,C
2023,1,5,70,C
2023,1,6,56,C
2023,1,7,48,C
2023,1,8,49,C
2023,1,9,72,C
2023,1,10,89,C
2023,1,11,82,C
2023,1,12,82,C
2023,1,13,87,C
2023,1,14,86,C
2023,1,15,75,C
2023,1,16,57,C
2023,1,17,66,C
2023,1,18,49,C
2023,1,19,54,C
2023,1,20,53,C
2023,1,21,72,C
2023,1,22,75,C
2023,1,23,81,C
2023,1,24,43,C
2023,1,25,42,C
2023,1,26,60,C
2023,1,27,40,C
2023,1,28,19,C
2023,1,29,25,C
2023,1,30,36,C
2023,1,31,55,C
2023,2,1,70,C
2023,2,2,72,C
2023,2,3,68,C
2023,2,4,74,C
2023,2,5,77,C
2023,2,6,80,C
2023,2,7,78,C
2023,2,8,78,C
2023,2,9,76,C
2023,2,10,81,C
2023,2,11,83,C
2023,2,12,83,C
2023,2,13,77,C
2023,2,14,62,C
2023,2,15,52,C
2023,2,16,53,C
2023,2,17,62,C
2023,2,18,60,C
2023,2,19,61,C
2023,2,20,55,C
2023,2,21,58,C
2023,2,22,56,C
2023,2,23,62,C
2023,2,24,59,C
2023,2,25,47,C
2023,2,26,51,C
2023,2,27,53,C
2023,2,28,64,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
