日平均相對濕度(百分比) - 天文台
Daily Mean Relative Humidity (%) at the Hong Kong Observatory
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,65,C
2023,1,2,65,C
2023,1,3,69,C
2023,1,4,74,C
2023,1,5,77,C
2023,1,6,62,C
2023,1,7,59,C
2023,1,8,57,C
2023,1,9,72,C
2023,1,10,91,C
2023,1,11,87,C
2023,1,12,88,C
2023,1,13,93,C
2023,1,14,90,C
2023,1,15,80,C
2023,1,16,66,C
2023,1,17,71,C
2023,1,18,58,C
2023,1,19,63,C
2023,1,20,62,C
2023,1,21,79,C
2023,1,22,83,C
2023,1,23,86,C
2023,1,24,51,C
2023,1,25,54,C
2023,1,26,66,C
2023,1,27,46,C
2023,1,28,28,C
2023,1,29,35,C
2023,1,30,48,C
2023,1,31,61,C
2023,2,1,77,C
2023,2,2,77,C
2023,2,3,76,C
2023,2,4,81,C
2023,2,5,83,C
2023,2,6,85,C
2023,2,7,83,C
2023,2,8,84,C
2023,2,9,83,C
2023,2,10,87,C
2023,2,11,93,C
2023,2,12,95,C
2023,2,13,88,C
2023,2,14,64,C
2023,2,15,60,C
2023,2,16,62,C
2023,2,17,70,C
2023,2,18,67,C
2023,2,19,67,C
2023,2,20,64,C
2023,2,21,62,C
2023,2,22,61,C
2023,2,23,70,C
2023,2,24,67,C
2023,2,25,54,C
2023,2,26,58,C
2023,2,27,60,C
2023,2,28,71,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
