平均相對濕度(百分比) - 將軍澳
Mean Relative Humidity (%) - Tseung Kwan O
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,67,C
2023,1,2,68,C
2023,1,3,70,C
2023,1,4,77,C
2023,1,5,81,C
2023,1,6,67,C
2023,1,7,63,C
2023,1,8,65,C
2023,1,9,75,C
2023,1,10,96,C
2023,1,11,94,C
2023,1,12,96,C
2023,1,13,99,C
2023,1,14,94,C
2023,1,15,84,C
2023,1,16,70,C
2023,1,17,73,C
2023,1,18,67,C
2023,1,19,75,C
2023,1,20,68,C
2023,1,21,83,C
2023,1,22,87,C
2023,1,23,90,C
2023,1,24,53,C
2023,1,25,57,C
2023,1,26,73,C
2023,1,27,48,C
2023,1,28,31,C
2023,1,29,41,C
2023,1,30,57,C
2023,1,31,66,C
2023,2,1,81,C
2023,2,2,84,C
2023,2,3,80,C
2023,2,4,88,C
2023,2,5,89,C
2023,2,6,90,C
2023,2,7,89,C
2023,2,8,90,C
2023,2,9,90,C
2023,2,10,91,C
2023,2,11,99,C
2023,2,12,100,C
2023,2,13,96,C
2023,2,14,68,C
2023,2,15,66,C
2023,2,16,64,C
2023,2,17,76,C
2023,2,18,77,C
2023,2,19,74,C
2023,2,20,68,C
2023,2,21,64,C
2023,2,22,64,C
2023,2,23,75,C
2023,2,24,71,C
2023,2,25,57,C
2023,2,26,61,C
2023,2,27,62,C
2023,2,28,75,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
