平均相對濕度(百分比) - 石崗
Mean Relative Humidity (%) - Shek Kong
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,80,C
2023,1,2,79,C
2023,1,3,81,C
2023,1,4,82,C
2023,1,5,86,C
2023,1,6,73,C
2023,1,7,69,C
2023,1,8,64,C
2023,1,9,84,C
2023,1,10,99,C
2023,1,11,95,C
2023,1,12,93,C
2023,1,13,100,C
2023,1,14,93,C
2023,1,15,83,C
2023,1,16,70,C
2023,1,17,79,C
2023,1,18,66,C
2023,1,19,77,C
2023,1,20,71,C
2023,1,21,86,C
2023,1,22,87,C
2023,1,23,91,C
2023,1,24,56,C
2023,1,25,55,C
2023,1,26,77,C
2023,1,27,51,C
2023,1,28,37,C
2023,1,29,48,C
2023,1,30,60,C
2023,1,31,73,C
2023,2,1,87,C
2023,2,2,84,C
2023,2,3,76,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,91,C
2023,2,7,88,C
2023,2,8,88,C
2023,2,9,85,C
2023,2,10,91,C
2023,2,11,89,C
2023,2,12,88,C
2023,2,13,86,C
2023,2,14,67,C
2023,2,15,61,C
2023,2,16,60,C
2023,2,17,71,C
2023,2,18,76,C
2023,2,19,74,C
2023,2,20,65,C
2023,2,21,69,C
2023,2,22,65,C
2023,2,23,71,C
2023,2,24,68,C
2023,2,25,57,C
2023,2,26,59,C
2023,2,27,62,C
2023,2,28,70,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
