平均相對濕度(百分比) - 西貢
Mean Relative Humidity (%) - Sai Kung
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,66,C
2023,1,2,66,C
2023,1,3,71,C
2023,1,4,76,C
2023,1,5,82,C
2023,1,6,63,C
2023,1,7,62,C
2023,1,8,64,C
2023,1,9,76,C
2023,1,10,91,C
2023,1,11,89,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,93,C
2023,1,15,79,C
2023,1,16,68,C
2023,1,17,72,C
2023,1,18,59,C
2023,1,19,70,C
2023,1,20,63,C
2023,1,21,81,C
2023,1,22,87,C
2023,1,23,90,C
2023,1,24,52,C
2023,1,25,54,C
2023,1,26,70,C
2023,1,27,45,C
2023,1,28,29,C
2023,1,29,36,C
2023,1,30,48,C
2023,1,31,63,C
2023,2,1,80,C
2023,2,2,83,C
2023,2,3,78,C
2023,2,4,84,C
2023,2,5,87,C
2023,2,6,89,C
2023,2,7,90,C
2023,2,8,86,C
2023,2,9,87,C
2023,2,10,91,C
2023,2,11,95,C
2023,2,12,97,C
2023,2,13,95,C
2023,2,14,64,C
2023,2,15,63,C
2023,2,16,64,C
2023,2,17,76,C
2023,2,18,76,C
2023,2,19,73,C
2023,2,20,69,C
2023,2,21,67,C
2023,2,22,65,C
2023,2,23,74,C
2023,2,24,69,C
2023,2,25,57,C
2023,2,26,62,C
2023,2,27,62,C
2023,2,28,74,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
