平均相對濕度(百分比) - 打鼓嶺
Mean Relative Humidity (%) - Ta Kwu Ling
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,75,C
2023,1,2,68,C
2023,1,3,70,C
2023,1,4,74,C
2023,1,5,77,C
2023,1,6,65,C
2023,1,7,65,C
2023,1,8,66,C
2023,1,9,79,C
2023,1,10,94,C
2023,1,11,92,C
2023,1,12,91,C
2023,1,13,96,C
2023,1,14,89,C
2023,1,15,78,C
2023,1,16,64,C
2023,1,17,70,C
2023,1,18,60,C
2023,1,19,72,C
2023,1,20,69,C
2023,1,21,82,C
2023,1,22,84,C
2023,1,23,87,C
2023,1,24,48,C
2023,1,25,49,C
2023,1,26,72,C
2023,1,27,44,C
2023,1,28,32,C
2023,1,29,40,C
2023,1,30,60,C
2023,1,31,64,C
2023,2,1,75,C
2023,2,2,79,C
2023,2,3,74,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,87,C
2023,2,7,84,C
2023,2,8,86,C
2023,2,9,84,C
2023,2,10,88,C
2023,2,11,91,C
2023,2,12,92,C
2023,2,13,87,C
2023,2,14,61,C
2023,2,15,59,C
2023,2,16,58,C
2023,2,17,68,C
2023,2,18,75,C
2023,2,19,67,C
2023,2,20,62,C
2023,2,21,68,C
2023,2,22,64,C
2023,2,23,69,C
2023,2,24,63,C
2023,2,25,54,C
2023,2,26,57,C
2023,2,27,63,C
2023,2,28,72,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
