平均相對濕度(百分比) - 大帽山
Mean Relative Humidity (%) - Tai Mo Shan
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,76,C
2023,1,2,86,C
2023,1,3,96,C
2023,1,4,97,C
2023,1,5,90,C
2023,1,6,71,C
2023,1,7,63,C
2023,1,8,67,C
2023,1,9,99,C
2023,1,10,100,C
2023,1,11,100,C
2023,1,12,100,C
2023,1,13,100,C
2023,1,14,93,C
2023,1,15,97,C
2023,1,16,100,C
2023,1,17,98,C
2023,1,18,73,C
2023,1,19,69,C
2023,1,20,74,C
2023,1,21,94,C
2023,1,22,87,C
2023,1,23,75,C
2023,1,24,69,C
2023,1,25,75,C
2023,1,26,86,C
2023,1,27,57,C
2023,1,28,51,C
2023,1,29,44,C
2023,1,30,53,C
2023,1,31,74,C
2023,2,1,96,C
2023,2,2,97,C
2023,2,3,89,C
2023,2,4,100,C
2023,2,5,100,C
2023,2,6,95,C
2023,2,7,98,C
2023,2,8,100,C
2023,2,9,98,C
2023,2,10,100,C
2023,2,11,98,C
2023,2,12,100,C
2023,2,13,96,C
2023,2,14,89,C
2023,2,15,80,C
2023,2,16,83,C
2023,2,17,73,C
2023,2,18,87,C
2023,2,19,88,C
2023,2,20,80,C
2023,2,21,91,C
2023,2,22,73,C
2023,2,23,72,C
2023,2,24,63,C
2023,2,25,79,C
2023,2,26,80,C
2023,2,27,73,C
2023,2,28,72,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
