平均相對濕度(百分比) - 屯門兒童及青少年院
Mean Relative Humidity (%) - Tuen Mun Children and Juvenile Home
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,62,C
2023,1,2,61,C
2023,1,3,67,C
2023,1,4,69,C
2023,1,5,75,C
2023,1,6,59,C
2023,1,7,53,C
2023,1,8,56,C
2023,1,9,73,C
2023,1,10,96,C
2023,1,11,93,C
2023,1,12,89,C
2023,1,13,99,C
2023,1,14,92,C
2023,1,15,77,C
2023,1,16,60,C
2023,1,17,68,C
2023,1,18,53,C
2023,1,19,55,C
2023,1,20,58,C
2023,1,21,79,C
2023,1,22,77,C
2023,1,23,86,C
2023,1,24,47,C
2023,1,25,46,C
2023,1,26,63,C
2023,1,27,43,C
2023,1,28,23,C
2023,1,29,30,C
2023,1,30,39,C
2023,1,31,59,C
2023,2,1,73,C
2023,2,2,77,C
2023,2,3,71,C
2023,2,4,79,C
2023,2,5,84,C
2023,2,6,85,C
2023,2,7,84,C
2023,2,8,84,C
2023,2,9,82,C
2023,2,10,87,C
2023,2,11,89,C
2023,2,12,88,C
2023,2,13,85,C
2023,2,14,66,C
2023,2,15,55,C
2023,2,16,56,C
2023,2,17,69,C
2023,2,18,70,C
2023,2,19,65,C
2023,2,20,59,C
2023,2,21,66,C
2023,2,22,63,C
2023,2,23,69,C
2023,2,24,63,C
2023,2,25,52,C
2023,2,26,55,C
2023,2,27,60,C
2023,2,28,68,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
