平均相對濕度(百分比) - 荃灣城門谷
Mean Relative Humidity (%) - Tsuen Wan Shing Mun Valley
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,67,C
2023,1,2,69,C
2023,1,3,73,C
2023,1,4,77,C
2023,1,5,77,C
2023,1,6,67,C
2023,1,7,61,C
2023,1,8,51,C
2023,1,9,74,C
2023,1,10,92,C
2023,1,11,87,C
2023,1,12,87,C
2023,1,13,97,C
2023,1,14,93,C
2023,1,15,80,C
2023,1,16,68,C
2023,1,17,73,C
2023,1,18,65,C
2023,1,19,69,C
2023,1,20,64,C
2023,1,21,78,C
2023,1,22,81,C
2023,1,23,86,C
2023,1,24,51,C
2023,1,25,52,C
2023,1,26,67,C
2023,1,27,47,C
2023,1,28,30,C
2023,1,29,39,C
2023,1,30,50,C
2023,1,31,63,C
2023,2,1,78,C
2023,2,2,80,C
2023,2,3,73,C
2023,2,4,78,C
2023,2,5,81,C
2023,2,6,84,C
2023,2,7,83,C
2023,2,8,85,C
2023,2,9,81,C
2023,2,10,85,C
2023,2,11,87,C
2023,2,12,87,C
2023,2,13,83,C
2023,2,14,63,C
2023,2,15,59,C
2023,2,16,61,C
2023,2,17,69,C
2023,2,18,69,C
2023,2,19,71,C
2023,2,20,63,C
2023,2,21,66,C
2023,2,22,62,C
2023,2,23,70,C
2023,2,24,66,C
2023,2,25,55,C
2023,2,26,58,C
2023,2,27,60,C
2023,2,28,67,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
