平均相對濕度(百分比) - 橫瀾島
Mean Relative Humidity (%) - Waglan Island
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,72,C
2023,1,2,73,C
2023,1,3,75,C
2023,1,4,81,C
2023,1,5,83,C
2023,1,6,80,C
2023,1,7,72,C
2023,1,8,73,C
2023,1,9,81,C
2023,1,10,98,C
2023,1,11,93,C
2023,1,12,94,C
2023,1,13,100,C
2023,1,14,97,C
2023,1,15,88,C
2023,1,16,76,C
2023,1,17,78,C
2023,1,18,68,C
2023,1,19,70,C
2023,1,20,71,C
2023,1,21,85,C
2023,1,22,90,C
2023,1,23,93,C
2023,1,24,61,C
2023,1,25,63,C
2023,1,26,74,C
2023,1,27,55,C
2023,1,28,39,C
2023,1,29,43,C
2023,1,30,57,C
2023,1,31,71,C
2023,2,1,82,C
2023,2,2,84,C
2023,2,3,85,C
2023,2,4,89,C
2023,2,5,90,C
2023,2,6,92,C
2023,2,7,92,C
2023,2,8,93,C
2023,2,9,92,C
2023,2,10,95,C
2023,2,11,100,C
2023,2,12,100,C
2023,2,13,99,C
2023,2,14,74,C
2023,2,15,68,C
2023,2,16,69,C
2023,2,17,77,C
2023,2,18,82,C
2023,2,19,77,C
2023,2,20,73,C
2023,2,21,67,C
2023,2,22,69,C
2023,2,23,77,C
2023,2,24,74,C
2023,2,25,63,C
2023,2,26,67,C
2023,2,27,65,C
2023,2,28,77,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
