平均相對濕度(百分比) - 濕地公園
Mean Relative Humidity (%) - Wetland Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2005,11,10,81,C
2005,11,11,79,C
2005,11,12,76,C
2005,11,13,76,C
2005,11,14,84,C
2005,11,15,82,C
2005,11,16,64,C
2005,11,17,63,C
2005,11,18,62,C
2005,11,19,63,C
2005,11,20,60,C
2005,11,21,55,C
2005,11,22,64,C
2005,11,23,65,C
2005,11,24,66,C
2005,11,25,73,C
2005,11,26,77,C
2005,11,27,71,C
2005,11,28,75,C
2005,11,29,71,C
2005,11,30,76,C
2005,12,1,77,C
2005,12,2,79,C
2005,12,3,73,C
2005,12,4,54,C
2005,12,5,43,C
2005,12,6,38,C
2005,12,7,42,C
2005,12,8,52,C
2005,12,9,72,C
2005,12,10,79,C
2005,12,11,64,C
2005,12,12,55,C
2005,12,13,50,C
2005,12,14,36,C
2005,12,15,26,C
2005,12,16,42,C
2005,12,17,31,C
2005,12,18,41,C
2005,12,19,60,C
2005,12,20,74,#
2005,12,21,32,#
2005,12,22,32,#
2005,12,23,58,#
2005,12,24,68,C
2005,12,25,59,C
2005,12,26,61,C
2005,12,27,65,C
2005,12,28,79,C
2005,12,29,75,C
2005,12,30,84,C
2005,12,31,79,C
2006,1,1,72,C
2006,1,2,73,C
2006,1,3,76,C
2006,1,4,77,C
2006,1,5,69,C
2006,1,6,57,C
2006,1,7,38,C
2006,1,8,42,C
2006,1,9,50,C
2006,1,10,64,C
2006,1,11,71,C
2006,1,12,75,C
2006,1,13,76,C
2006,1,14,80,C
2006,1,15,77,C
2006,1,16,78,C
2006,1,17,80,C
2006,1,18,81,C
2006,1,19,83,C
2006,1,20,90,#
2006,1,21,***,
2006,1,22,***,
2006,1,23,56,#
2006,1,24,59,C
2006,1,25,59,C
2006,1,26,55,C
2006,1,27,58,C
2006,1,28,89,C
2006,1,29,83,C
2006,1,30,79,C
2006,1,31,78,C
2006,2,1,79,C
2006,2,2,65,C
2006,2,3,70,C
2006,2,4,70,C
2006,2,5,68,C
2006,2,6,75,C
2006,2,7,72,C
2006,2,8,62,C
2006,2,9,66,C
2006,2,10,70,C
2006,2,11,73,C
2006,2,12,65,C
2006,2,13,61,C
2006,2,14,83,C
2006,2,15,84,C
2006,2,16,80,C
2006,2,17,65,C
2006,2,18,81,C
2006,2,19,79,C
2006,2,20,76,C
2006,2,21,73,C
2006,2,22,71,C
2006,2,23,67,C
2006,2,24,71,C
2006,2,25,76,C
2006,2,26,74,C
2006,2,27,82,C
2006,2,28,88,C
2006,3,1,62,C
2006,3,2,51,C
2006,3,3,65,C
2006,3,4,60,C
2006,3,5,84,C
2006,3,6,88,C
2006,3,7,79,C
2006,3,8,74,C
2006,3,9,82,C
2006,3,10,77,C
2006,3,11,78,C
2006,3,12,83,C
2006,3,13,76,C
2006,3,14,66,C
2006,3,15,72,C
2006,3,16,75,C
2006,3,17,80,C
2006,3,18,79,C
2006,3,19,69,C
2006,3,20,72,C
2006,3,21,83,C
2006,3,22,85,C
2006,3,23,88,C
2006,3,24,89,#
2006,3,25,84,C
2006,3,26,86,C
2006,3,27,88,C
2006,3,28,70,C
