平均相對濕度(百分比) - 大埔(元洲仔公園)
Mean Relative Humidity (%) - Tai Po(Yuen Chau Tsai Park)
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,67,C
2023,1,2,69,C
2023,1,3,71,C
2023,1,4,77,C
2023,1,5,81,C
2023,1,6,66,C
2023,1,7,64,C
2023,1,8,68,C
2023,1,9,78,C
2023,1,10,96,C
2023,1,11,92,C
2023,1,12,94,C
2023,1,13,98,C
2023,1,14,92,C
2023,1,15,78,C
2023,1,16,62,C
2023,1,17,69,C
2023,1,18,57,C
2023,1,19,61,C
2023,1,20,62,C
2023,1,21,81,C
2023,1,22,86,C
2023,1,23,89,C
2023,1,24,49,C
2023,1,25,46,#
2023,1,26,***,
2023,1,27,32,#
2023,1,28,29,C
2023,1,29,36,C
2023,1,30,49,C
2023,1,31,69,C
2023,2,1,79,C
2023,2,2,85,C
2023,2,3,77,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,91,C
2023,2,7,90,C
2023,2,8,86,C
2023,2,9,88,C
2023,2,10,91,C
2023,2,11,95,C
2023,2,12,97,C
2023,2,13,93,C
2023,2,14,63,C
2023,2,15,61,C
2023,2,16,62,C
2023,2,17,71,C
2023,2,18,77,C
2023,2,19,75,C
2023,2,20,66,C
2023,2,21,70,C
2023,2,22,65,C
2023,2,23,72,C
2023,2,24,67,C
2023,2,25,56,C
2023,2,26,60,C
2023,2,27,65,#
2023,2,28,74,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
