平均相對濕度(百分比) - 大埔(元洲仔公園)
Mean Relative Humidity (%) - Tai Po(Yuen Chau Tsai Park)
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2022,4,1,83,C
2022,4,2,80,C
2022,4,3,59,C
2022,4,4,61,C
2022,4,5,69,C
2022,4,6,74,C
2022,4,7,70,C
2022,4,8,56,C
2022,4,9,67,C
2022,4,10,71,C
2022,4,11,79,C
2022,4,12,83,C
2022,4,13,82,C
2022,4,14,68,C
2022,4,15,74,C
2022,4,16,78,C
2022,4,17,74,C
2022,4,18,75,C
2022,4,19,88,C
2022,4,20,80,C
2022,4,21,82,C
2022,4,22,87,C
2022,4,23,83,C
2022,4,24,84,C
2022,4,25,76,C
2022,4,26,76,C
2022,4,27,78,C
2022,4,28,81,C
2022,4,29,83,C
2022,4,30,90,C
2022,5,1,94,C
2022,5,2,85,C
2022,5,3,67,C
2022,5,4,67,C
2022,5,5,75,C
2022,5,6,79,C
2022,5,7,83,C
2022,5,8,75,C
2022,5,9,79,C
2022,5,10,94,C
2022,5,11,98,C
2022,5,12,99,C
2022,5,13,95,C
2022,5,14,97,C
2022,5,15,95,C
2022,5,16,89,C
2022,5,17,74,C
2022,5,18,56,C
2022,5,19,66,C
2022,5,20,80,C
2022,5,21,83,C
2022,5,22,86,C
2022,5,23,91,C
2022,5,24,98,C
2022,5,25,94,C
2022,5,26,93,C
2022,5,27,99,C
2022,5,28,84,C
2022,5,29,80,C
2022,5,30,88,C
2022,5,31,88,C
2022,6,1,85,C
2022,6,2,82,C
2022,6,3,90,C
2022,6,4,82,C
2022,6,5,79,C
2022,6,6,87,C
2022,6,7,95,C
2022,6,8,99,C
2022,6,9,95,C
2022,6,10,91,C
2022,6,11,97,C
2022,6,12,89,C
2022,6,13,81,C
2022,6,14,91,C
2022,6,15,92,C
2022,6,16,91,C
2022,6,17,83,C
2022,6,18,83,C
2022,6,19,87,C
2022,6,20,81,C
2022,6,21,79,C
2022,6,22,77,C
2022,6,23,74,C
2022,6,24,76,C
2022,6,25,77,C
2022,6,26,77,C
2022,6,27,75,C
2022,6,28,77,C
2022,6,29,84,C
2022,6,30,93,C
2022,7,1,88,C
2022,7,2,92,C
2022,7,3,77,C
2022,7,4,84,C
2022,7,5,91,C
2022,7,6,87,C
2022,7,7,94,C
2022,7,8,84,C
2022,7,9,83,C
2022,7,10,81,C
2022,7,11,78,C
2022,7,12,77,C
2022,7,13,74,C
