平均風速 (公里/小時) - 
Mean Wind Speed (km/h) - Ngong Ping
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2002,1,1,17.7,C
2002,1,2,26.5,C
2002,1,3,18.0,C
2002,1,4,12.5,C
2002,1,5,21.4,C
2002,1,6,17.5,C
2002,1,7,19.8,C
2002,1,8,22.8,C
2002,1,9,19.7,C
2002,1,10,12.3,#
2002,1,11,12.3,C
2002,1,12,14.3,C
2002,1,13,31.2,C
2002,1,14,35.2,C
2002,1,15,29.4,C
2002,1,16,12.4,C
2002,1,17,15.8,C
2002,1,18,28.4,C
2002,1,19,17.2,C
2002,1,20,26.9,C
2002,1,21,42.3,C
2002,1,22,19.8,C
2002,1,23,26.5,#
2002,1,24,44.3,#
2002,1,25,28.5,C
2002,1,26,28.3,C
2002,1,27,28.4,C
2002,1,28,27.0,C
2002,1,29,25.0,C
2002,1,30,17.7,C
2002,1,31,25.1,C
2002,2,1,22.6,C
2002,2,2,30.9,C
2002,2,3,41.5,C
2002,2,4,40.1,#
2002,2,5,19.2,C
2002,2,6,29.3,C
2002,2,7,41.9,#
2002,2,8,18.0,#
2002,2,9,18.1,#
2002,2,10,21.8,C
2002,2,11,21.0,#
2002,2,12,14.6,#
2002,2,13,17.9,#
2002,2,14,24.9,#
2002,2,15,22.8,C
2002,2,16,21.1,C
2002,2,17,13.6,C
2002,2,18,30.6,C
2002,2,19,39.8,C
2002,2,20,42.2,#
2002,2,21,30.0,C
2002,2,22,14.3,C
2002,2,23,15.1,C
2002,2,24,19.2,C
2002,2,25,31.7,C
2002,2,26,19.5,C
2002,2,27,19.1,C
2002,2,28,19.0,#
2002,3,1,38.4,#
2002,3,2,21.6,#
2002,3,3,31.9,#
2002,3,4,34.0,C
2002,3,5,24.7,#
2002,3,6,33.4,C
2002,3,7,21.4,C
2002,3,8,47.4,C
2002,3,9,47.4,C
2002,3,10,36.4,C
2002,3,11,21.1,C
2002,3,12,30.6,#
2002,3,13,25.9,C
2002,3,14,22.7,C
2002,3,15,36.5,C
2002,3,16,20.7,C
2002,3,17,16.2,C
2002,3,18,21.2,C
2002,3,19,19.7,C
2002,3,20,11.9,C
2002,3,21,17.9,#
2002,3,22,27.1,#
2002,3,23,41.7,C
2002,3,24,32.5,C
2002,3,25,17.1,C
2002,3,26,32.7,#
2002,3,27,23.1,C
2002,3,28,32.4,C
2002,3,29,32.8,#
2002,3,30,13.8,#
2002,3,31,***,
2002,4,1,***,
2002,4,2,33.9,#
2002,4,3,35.0,#
2002,4,4,37.1,#
2002,4,5,36.0,#
2002,4,6,42.3,#
2002,4,7,34.9,C
2002,4,8,26.1,#
2002,4,9,22.4,C
2002,4,10,33.4,#
2002,4,11,31.7,#
2002,4,12,11.6,#
2002,4,13,16.3,C
2002,4,14,23.1,C
2002,4,15,30.0,C
2002,4,16,23.9,C
2002,4,17,12.8,#
2002,4,18,34.0,C
2002,4,19,29.2,C
2002,4,20,17.8,C
2002,4,21,18.8,C
2002,4,22,23.6,C
2002,4,23,16.0,C
2002,4,24,15.1,C
2002,4,25,53.7,#
2002,4,26,56.7,C
2002,4,27,43.7,C
2002,4,28,40.8,C
2002,4,29,38.3,#
2002,4,30,14.7,#
2002,5,1,9.6,#
2002,5,2,24.1,#
2002,5,3,30.9,#
2002,5,4,35.0,#
2002,5,5,42.4,#
2002,5,6,26.1,C
2002,5,7,13.6,C
2002,5,8,28.0,C
2002,5,9,33.0,C
2002,5,10,18.3,#
2002,5,11,14.3,C
2002,5,12,25.7,C
2002,5,13,36.6,C
2002,5,14,46.4,C
2002,5,15,17.2,C
2002,5,16,15.3,#
2002,5,17,12.0,C
2002,5,18,29.8,C
2002,5,19,24.0,#
2002,5,20,26.7,C
2002,5,21,50.1,C
2002,5,22,31.7,C
2002,5,23,17.5,C
2002,5,24,18.0,C
2002,5,25,17.8,C
2002,5,26,21.8,#
2002,5,27,36.3,C
2002,5,28,40.6,C
2002,5,29,15.6,C
2002,5,30,29.8,C
2002,5,31,18.5,C
2002,6,1,17.7,C
2002,6,2,37.7,#
2002,6,3,42.6,C
2002,6,4,47.7,C
2002,6,5,44.5,C
2002,6,6,36.1,C
2002,6,7,17.5,C
2002,6,8,20.9,C
2002,6,9,25.6,C
2002,6,10,39.3,#
2002,6,11,46.7,C
2002,6,12,33.3,C
2002,6,13,35.1,C
2002,6,14,36.5,C
2002,6,15,39.8,C
2002,6,16,49.5,C
2002,6,17,48.4,C
2002,6,18,42.4,C
2002,6,19,38.7,#
2002,6,20,35.9,C
2002,6,21,28.5,C
2002,6,22,25.8,C
2002,6,23,29.7,#
2002,6,24,25.2,#
2002,6,25,30.8,C
2002,6,26,30.7,#
2002,6,27,32.2,C
2002,6,28,37.5,C
2002,6,29,37.4,C
2002,6,30,33.4,C
2002,7,1,31.5,C
2002,7,2,25.6,C
2002,7,3,14.6,C
2002,7,4,13.8,C
2002,7,5,11.6,C
2002,7,6,20.1,C
2002,7,7,20.0,#
2002,7,8,24.3,#
2002,7,9,16.2,#
2002,7,10,14.0,C
2002,7,11,26.5,C
2002,7,12,24.6,C
2002,7,13,26.1,C
2002,7,14,19.2,C
2002,7,15,28.6,C
2002,7,16,43.3,C
2002,7,17,61.4,C
2002,7,18,58.5,C
2002,7,19,54.6,C
2002,7,20,41.8,C
2002,7,21,22.6,C
2002,7,22,5.5,#
2002,7,23,***,
2002,7,24,27.9,#
2002,7,25,30.1,C
2002,7,26,36.6,C
2002,7,27,20.8,C
2002,7,28,44.4,C
2002,7,29,36.4,C
2002,7,30,24.9,C
2002,7,31,14.6,C
2002,8,1,11.5,C
2002,8,2,9.0,#
2002,8,3,***,
2002,8,4,***,
2002,8,5,***,
2002,8,6,***,
2002,8,7,***,
2002,8,8,***,
2002,8,9,***,
2002,8,10,***,
2002,8,11,***,
2002,8,12,***,
2002,8,13,***,
2002,8,14,***,
2002,8,15,38.2,#
2002,8,16,43.6,C
2002,8,17,53.7,C
2002,8,18,66.5,C
2002,8,19,60.2,C
2002,8,20,39.3,C
2002,8,21,27.5,C
2002,8,22,11.1,C
2002,8,23,15.3,C
2002,8,24,22.5,C
2002,8,25,26.8,C
2002,8,26,25.4,C
2002,8,27,25.9,C
2002,8,28,15.3,C
2002,8,29,11.6,C
2002,8,30,13.2,C
2002,8,31,14.1,C
2002,9,1,14.3,C
2002,9,2,21.2,C
2002,9,3,12.0,C
2002,9,4,15.0,C
2002,9,5,9.6,#
2002,9,6,16.7,C
2002,9,7,29.0,C
2002,9,8,19.0,C
2002,9,9,13.0,C
2002,9,10,19.2,C
2002,9,11,83.1,C
2002,9,12,49.0,C
2002,9,13,21.8,C
2002,9,14,24.5,C
2002,9,15,25.5,C
2002,9,16,39.8,C
2002,9,17,44.2,C
2002,9,18,54.2,C
2002,9,19,64.4,#
2002,9,20,47.2,C
2002,9,21,16.1,C
2002,9,22,25.0,C
2002,9,23,24.4,C
2002,9,24,25.5,C
2002,9,25,18.0,C
2002,9,26,20.3,C
2002,9,27,12.3,C
2002,9,28,14.4,C
2002,9,29,37.8,C
2002,9,30,32.1,C
2002,10,1,15.2,C
2002,10,2,16.3,C
2002,10,3,27.9,#
2002,10,4,29.8,C
2002,10,5,28.4,C
2002,10,6,35.6,C
2002,10,7,36.7,C
2002,10,8,39.3,C
2002,10,9,19.8,C
2002,10,10,14.0,C
2002,10,11,13.4,C
2002,10,12,23.3,C
2002,10,13,15.5,#
2002,10,14,36.6,C
2002,10,15,26.2,C
2002,10,16,32.7,C
2002,10,17,34.8,C
