平均風速 (公里/小時) - 
Mean Wind Speed (km/h) - Tai Po Kau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2010,12,1,6.0,C
2010,12,2,6.6,C
2010,12,3,7.7,C
2010,12,4,9.7,C
2010,12,5,4.7,C
2010,12,6,8.3,C
2010,12,7,12.1,#
2010,12,8,6.1,#
2010,12,9,11.3,C
2010,12,10,15.5,C
2010,12,11,15.2,C
2010,12,12,20.2,C
2010,12,13,7.8,C
2010,12,14,11.0,C
2010,12,15,18.6,C
2010,12,16,15.7,C
2010,12,17,13.7,C
2010,12,18,4.5,C
2010,12,19,3.9,C
2010,12,20,4.5,C
2010,12,21,3.7,C
2010,12,22,6.8,C
2010,12,23,4.8,C
2010,12,24,13.3,C
2010,12,25,17.1,C
2010,12,26,11.6,C
2010,12,27,6.9,C
2010,12,28,3.4,C
2010,12,29,4.5,C
2010,12,30,7.4,C
2010,12,31,7.8,C
2011,1,1,11.4,C
2011,1,2,16.4,C
2011,1,3,15.0,C
2011,1,4,12.0,C
2011,1,5,7.9,C
2011,1,6,16.5,C
2011,1,7,13.3,C
2011,1,8,7.4,C
2011,1,9,10.4,C
2011,1,10,12.2,C
2011,1,11,15.9,C
2011,1,12,11.9,C
2011,1,13,6.5,C
2011,1,14,5.3,C
2011,1,15,16.0,C
2011,1,16,10.3,C
2011,1,17,10.2,C
2011,1,18,8.9,C
2011,1,19,8.6,C
2011,1,20,9.8,C
2011,1,21,15.5,C
2011,1,22,8.1,C
2011,1,23,9.2,C
2011,1,24,10.4,C
2011,1,25,7.9,C
2011,1,26,8.3,C
2011,1,27,10.4,C
2011,1,28,11.8,C
2011,1,29,14.6,C
2011,1,30,12.3,C
2011,1,31,10.8,C
2011,2,1,8.0,C
2011,2,2,9.9,C
2011,2,3,7.8,C
2011,2,4,5.5,C
2011,2,5,5.7,C
2011,2,6,5.2,C
2011,2,7,7.5,C
2011,2,8,6.5,C
2011,2,9,13.4,C
2011,2,10,15.0,C
2011,2,11,10.4,C
2011,2,12,15.8,C
2011,2,13,13.0,C
2011,2,14,11.7,C
2011,2,15,14.1,C
2011,2,16,12.0,C
2011,2,17,9.2,C
2011,2,18,8.2,C
2011,2,19,11.8,C
2011,2,20,5.6,C
2011,2,21,7.9,C
2011,2,22,14.7,C
2011,2,23,6.0,C
2011,2,24,4.9,C
2011,2,25,14.2,C
2011,2,26,18.7,C
2011,2,27,6.0,C
2011,2,28,5.5,C
2011,3,1,7.7,C
2011,3,2,12.0,C
2011,3,3,12.0,C
2011,3,4,17.8,C
2011,3,5,15.9,C
2011,3,6,8.4,C
2011,3,7,14.2,C
2011,3,8,11.0,C
2011,3,9,11.9,C
2011,3,10,9.5,C
2011,3,11,8.3,C
2011,3,12,9.6,C
2011,3,13,8.9,C
2011,3,14,5.8,C
2011,3,15,8.8,C
2011,3,16,13.6,C
2011,3,17,11.0,C
2011,3,18,13.5,C
2011,3,19,7.2,C
2011,3,20,4.8,C
2011,3,21,6.9,C
2011,3,22,9.3,C
2011,3,23,11.1,C
2011,3,24,9.3,C
2011,3,25,9.7,C
2011,3,26,13.5,C
2011,3,27,6.7,C
2011,3,28,8.4,C
2011,3,29,6.0,C
2011,3,30,10.1,C
2011,3,31,8.7,C
2011,4,1,8.8,C
2011,4,2,7.7,C
2011,4,3,6.8,C
2011,4,4,10.3,C
2011,4,5,17.8,C
2011,4,6,18.2,#
2011,4,7,9.2,C
2011,4,8,6.0,C
2011,4,9,12.4,C
2011,4,10,7.1,C
2011,4,11,12.7,C
2011,4,12,21.6,C
2011,4,13,9.7,C
2011,4,14,6.6,C
2011,4,15,5.8,C
2011,4,16,6.4,C
2011,4,17,5.3,C
2011,4,18,9.1,C
2011,4,19,11.3,C
2011,4,20,22.3,C
2011,4,21,15.7,C
2011,4,22,7.4,C
2011,4,23,7.3,C
2011,4,24,5.0,C
2011,4,25,6.3,C
2011,4,26,5.5,C
2011,4,27,5.8,C
2011,4,28,12.0,C
2011,4,29,13.4,C
2011,4,30,9.2,C
2011,5,1,7.5,C
2011,5,2,7.2,C
2011,5,3,7.2,C
2011,5,4,9.1,C
2011,5,5,11.8,C
2011,5,6,10.3,C
2011,5,7,11.0,C
2011,5,8,15.5,C
2011,5,9,13.7,C
2011,5,10,6.5,C
2011,5,11,9.3,C
2011,5,12,7.8,C
2011,5,13,8.8,C
2011,5,14,17.5,C
2011,5,15,14.8,C
2011,5,16,7.9,C
2011,5,17,8.0,C
2011,5,18,14.3,C
2011,5,19,11.5,C
2011,5,20,9.7,C
2011,5,21,12.6,C
2011,5,22,7.6,C
2011,5,23,10.0,C
2011,5,24,9.1,C
2011,5,25,7.0,C
2011,5,26,7.8,C
2011,5,27,5.0,C
2011,5,28,6.5,C
2011,5,29,12.4,C
2011,5,30,15.2,C
2011,5,31,9.1,C
2011,6,1,7.8,C
2011,6,2,10.4,C
2011,6,3,7.0,C
2011,6,4,6.5,C
2011,6,5,7.4,C
2011,6,6,7.4,C
2011,6,7,8.5,C
2011,6,8,7.0,C
2011,6,9,10.7,C
2011,6,10,8.6,C
2011,6,11,6.1,C
2011,6,12,5.2,C
2011,6,13,5.7,C
2011,6,14,6.8,C
2011,6,15,8.3,C
2011,6,16,7.4,C
2011,6,17,10.4,C
2011,6,18,12.3,C
2011,6,19,11.3,C
2011,6,20,6.8,C
2011,6,21,16.5,C
2011,6,22,36.0,C
2011,6,23,27.5,C
2011,6,24,13.8,C
2011,6,25,7.8,C
2011,6,26,5.5,C
2011,6,27,6.4,C
2011,6,28,6.3,C
2011,6,29,7.7,C
2011,6,30,11.0,C
2011,7,1,7.0,C
2011,7,2,6.6,C
2011,7,3,7.1,C
2011,7,4,5.4,C
2011,7,5,5.8,C
2011,7,6,7.7,C
2011,7,7,6.3,C
2011,7,8,6.8,C
2011,7,9,5.8,C
2011,7,10,5.4,C
2011,7,11,7.0,C
