Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2018,Carbon Monoxide,CAUSEWAY BAY,105,116,99,65,74,87,83,110,73,70,73,92
2018,Carbon Monoxide,CENTRAL,84,102,100,78,75,91,57,79,77,79,81,91
2018,Carbon Monoxide,MONG KOK,93,105,78,82,63,83,70,87,81,75,85,83
2018,Carbon Monoxide,TAP MUN,52,48,53,60,40,47,41,42,N.A.,38,37,51
2018,Carbon Monoxide,TSEUNG KWAN O,96,98,54,51,43,49,45,60,61,63,73,82
2018,Carbon Monoxide,TSUEN WAN,81,102,93,57,46,46,45,52,41,61,60,70
2018,Carbon Monoxide,TUEN MUN,81,87,78,60,49,61,60,79,80,95,100,103
2018,Carbon Monoxide,TUNG CHUNG,76,73,44,47,42,44,33,47,46,51,56,79
2018,Carbon Monoxide,YUEN LONG,52,59,58,54,30,36,57,66,58,69,83,86
2018,Fine Suspended Particulates ,CAUSEWAY BAY,36,42,36,34,21,22,19,27,29,32,30,31
2018,Fine Suspended Particulates ,CENTRAL,27,31,25,25,12,11,7,17,22,25,23,27
2018,Fine Suspended Particulates ,CENTRAL/WESTERN,30,31,26,24,13,13,10,17,18,25,24,24
2018,Fine Suspended Particulates ,EASTERN,25,27,22,23,13,12,9,14,17,23,20,20
2018,Fine Suspended Particulates ,KWAI CHUNG,23,26,22,23,17,16,13,18,21,24,21,19
2018,Fine Suspended Particulates ,KWUN TONG,27,31,25,26,18,16,13,19,20,25,23,22
2018,Fine Suspended Particulates ,MONG KOK,33,35,29,27,15,14,13,22,21,28,23,28
2018,Fine Suspended Particulates ,SHAM SHUI PO,25,28,27,25,15,15,11,17,20,26,24,23
2018,Fine Suspended Particulates ,SHATIN,24,27,21,23,14,13,11,15,18,23,20,18
2018,Fine Suspended Particulates ,TAI PO,28,30,21,23,12,12,9,16,20,25,21,20
2018,Fine Suspended Particulates ,TAP MUN,21,23,20,21,14,12,10,14,N.A.,21,18,17
2018,Fine Suspended Particulates ,TSEUNG KWAN O,20,19,18,19,11,10,7,12,15,19,17,18
2018,Fine Suspended Particulates ,TSUEN WAN,30,31,21,22,13,11,7,18,20,25,24,21
2018,Fine Suspended Particulates ,TUEN MUN,37,38,28,28,16,16,11,17,22,33,30,31
2018,Fine Suspended Particulates ,TUNG CHUNG,28,28,18,15,7,10,6,12,16,24,22,24
2018,Fine Suspended Particulates ,YUEN LONG,29,34,23,23,10,12,8,17,20,26,22,22
2018,Nitrogen Dioxide,CAUSEWAY BAY,98,101,100,91,75,80,61,91,91,101,81,76
2018,Nitrogen Dioxide,CENTRAL,81,91,88,67,61,78,56,86,86,103,83,77
2018,Nitrogen Dioxide,CENTRAL/WESTERN,46,53,50,41,27,28,20,34,40,42,44,49
2018,Nitrogen Dioxide,EASTERN,45,53,48,41,30,32,24,36,37,41,41,44
2018,Nitrogen Dioxide,KWAI CHUNG,60,63,59,54,53,53,42,60,56,59,49,51
2018,Nitrogen Dioxide,KWUN TONG,41,50,42,37,46,42,35,55,45,41,38,44
2018,Nitrogen Dioxide,MONG KOK,83,87,89,79,73,73,55,85,81,90,78,72
2018,Nitrogen Dioxide,SHAM SHUI PO,55,60,55,45,40,44,34,53,47,53,50,50
2018,Nitrogen Dioxide,SHATIN,39,46,40,33,32,27,22,38,37,38,30,36
2018,Nitrogen Dioxide,TAI PO,44,46,38,34,31,30,26,36,35,43,36,38
2018,Nitrogen Dioxide,TAP MUN,11,11,10,11,11,9,7,9,N.A.,11,11,16
2018,Nitrogen Dioxide,TSEUNG KWAN O,28,31,30,27,29,26,21,40,32,29,21,27
2018,Nitrogen Dioxide,TSUEN WAN,62,63,54,45,34,32,27,43,39,45,45,51
2018,Nitrogen Dioxide,TUEN MUN,65,61,48,48,33,36,28,42,43,55,51,53
2018,Nitrogen Dioxide,TUNG CHUNG,43,47,36,28,20,23,18,29,36,40,36,45
2018,Nitrogen Dioxide,YUEN LONG,52,50,47,43,33,36,28,41,44,49,47,51
2018,Nitrogen Oxides,CAUSEWAY BAY,300,327,289,265,242,231,213,274,286,218,203,243
2018,Nitrogen Oxides,CENTRAL,191,231,203,180,162,175,140,196,197,182,171,204
2018,Nitrogen Oxides,CENTRAL/WESTERN,62,86,79,57,38,36,32,48,60,51,56,73
2018,Nitrogen Oxides,KWAI CHUNG,106,115,103,89,100,93,86,105,101,80,73,87
2018,Nitrogen Oxides,KWUN TONG,74,88,62,54,88,71,68,94,71,54,53,76
2018,Nitrogen Oxides,MONG KOK,163,180,166,151,183,167,157,186,170,142,138,156
2018,Nitrogen Oxides,SHAM SHUI PO,82,100,85,63,63,62,54,76,72,64,65,75
2018,Nitrogen Oxides,SHATIN,54,62,55,42,43,37,30,50,51,44,36,51
2018,Nitrogen Oxides,TAI PO,63,65,54,48,50,50,43,53,51,53,47,56
2018,Nitrogen Oxides,TAP MUN,12,11,11,13,14,10,8,11,N.A.,14,15,21
2018,Nitrogen Oxides,TSEUNG KWAN O,44,48,47,40,49,43,36,58,50,36,27,38
2018,Nitrogen Oxides,TSUEN WAN,91,103,81,62,53,47,45,62,56,52,56,70
2018,Nitrogen Oxides,TUEN MUN,104,104,73,62,46,50,42,58,57,69,73,86
2018,Nitrogen Oxides,TUNG CHUNG,65,77,52,38,29,29,24,38,48,47,48,73
2018,Nitrogen Oxides,YUEN LONG,79,75,67,60,48,51,46,59,63,63,62,82
2018,Ozone,CAUSEWAY BAY,20,17,27,24,18,20,11,13,15,39,26,17
2018,Ozone,CENTRAL,31,25,33,20,19,26,15,18,21,46,33,19
2018,Ozone,CENTRAL/WESTERN,51,48,61,53,44,54,33,54,53,93,60,36
2018,Ozone,EASTERN,59,59,72,66,52,61,39,56,59,96,62,43
2018,Ozone,KWAI CHUNG,45,42,54,48,29,35,18,30,35,73,54,33
2018,Ozone,KWUN TONG,60,56,69,62,37,48,29,34,43,81,60,39
2018,Ozone,MONG KOK,29,27,33,30,18,23,12,19,26,55,33,19
2018,Ozone,SHAM SHUI PO,39,39,53,48,34,40,24,37,45,82,52,32
2018,Ozone,SHATIN,58,54,64,61,44,57,35,47,52,93,72,43
2018,Ozone,TAI PO,56,55,70,48,29,34,31,50,51,80,64,38
2018,Ozone,TAP MUN,80,81,82,79,57,66,41,65,N.A.,111,83,53
2018,Ozone,TSEUNG KWAN O,71,71,79,73,48,59,36,47,58,104,83,55
2018,Ozone,TSUEN WAN,43,40,54,48,35,45,24,40,43,80,54,32
2018,Ozone,TUEN MUN,34,35,51,47,44,49,30,49,53,79,50,25
2018,Ozone,TUNG CHUNG,42,31,48,48,50,57,38,53,49,75,51,27
2018,Ozone,YUEN LONG,41,39,50,42,41,47,27,46,45,68,46,29
2018,Respirable Suspended Particulates,CAUSEWAY BAY,53,61,55,56,33,33,32,38,42,51,46,50
2018,Respirable Suspended Particulates,CENTRAL,41,47,41,43,19,19,14,24,31,40,38,45
2018,Respirable Suspended Particulates,CENTRAL/WESTERN,44,47,42,42,22,21,18,24,29,41,37,38
2018,Respirable Suspended Particulates,EASTERN,42,46,39,44,21,22,19,22,28,39,33,36
2018,Respirable Suspended Particulates,KWAI CHUNG,35,39,37,42,27,25,23,26,31,40,32,31
2018,Respirable Suspended Particulates,KWUN TONG,44,52,42,48,30,25,23,29,36,49,39,41
2018,Respirable Suspended Particulates,MONG KOK,46,50,44,44,23,21,20,29,30,42,35,41
2018,Respirable Suspended Particulates,SHAM SHUI PO,35,39,42,44,25,24,21,25,28,40,34,34
2018,Respirable Suspended Particulates,SHATIN,37,42,34,40,21,22,25,24,29,39,34,34
2018,Respirable Suspended Particulates,TAI PO,41,43,33,40,19,19,15,23,31,39,34,37
2018,Respirable Suspended Particulates,TAP MUN,36,39,33,39,23,23,22,23,N.A.,41,32,31
2018,Respirable Suspended Particulates,TSEUNG KWAN O,35,30,34,39,22,20,18,21,27,35,29,32
2018,Respirable Suspended Particulates,TSUEN WAN,42,43,34,37,19,18,14,24,29,39,34,30
2018,Respirable Suspended Particulates,TUEN MUN,57,59,44,49,24,26,21,27,37,57,49,52
2018,Respirable Suspended Particulates,TUNG CHUNG,44,45,32,34,15,19,14,20,27,44,38,43
2018,Respirable Suspended Particulates,YUEN LONG,49,50,38,45,22,21,16,26,35,53,46,40
2018,Sulphur Dioxide,CAUSEWAY BAY,8,10,9,8,8,5,5,7,10,9,8,9
2018,Sulphur Dioxide,CENTRAL,8,9,6,4,9,7,7,8,10,9,7,8
2018,Sulphur Dioxide,CENTRAL/WESTERN,7,12,8,6,6,8,9,10,8,6,5,4
2018,Sulphur Dioxide,EASTERN,3,3,4,4,5,3,3,4,5,4,3,2
2018,Sulphur Dioxide,KWAI CHUNG,5,6,8,8,13,13,9,8,11,5,6,7
2018,Sulphur Dioxide,KWUN TONG,5,4,4,4,5,4,4,5,6,6,6,8
2018,Sulphur Dioxide,MONG KOK,6,6,7,6,7,5,5,6,7,4,3,6
2018,Sulphur Dioxide,SHAM SHUI PO,6,7,8,8,7,6,5,7,7,5,5,5
2018,Sulphur Dioxide,SHATIN,6,7,6,7,8,6,4,5,8,6,6,6
