ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (September 2022)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk ()."
			
Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2022-09-01,01,6,4,6,6,5,4,4,4,3,4,3,4,3,3,3,6,5,6
,02,6,4,6,5,5,4,4,5,3,3,3,3,3,3,2,5,5,5
,03,6,4,6,5,5,4,4,4,3,3,2,3,3,2,2,5,6,6
,04,6,4,5,5,5,4,4,4,3,3,2,3,3,2,2,5,5,5
,05,5,3,5,4,5,4,4,4,2,3,2,3,2,2,2,5,5,4
,06,5,3,4,4,4,4,3,3,2,3,2,3,2,2,2,4,4,4
,07,4,3,4,3,3,3,3,3,2,3,2,2,3,2,2,3,4,3
,08,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3
,10,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,11,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4
,12,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,13,5,5,4,4,5,5,5,4,5,6,5,5,4,5,5,5,5,5
,14,5,5,4,4,5,6,6,4,6,7,5,5,5,5,5,5,5,5
,15,6,5,4,4,6,6,6,4,7,8,6,5,6,6,5,5,5,6
,16,7,4,4,4,6,7,7,4,6,8,6,6,6,6,4,5,5,7
,17,7,4,4,4,6,6,6,4,6,8,6,5,6,5,4,5,5,6
,18,7,4,4,4,6,5,5,3,5,6,6,5,5,5,3,5,6,6
,19,6,4,4,4,5,4,4,4,4,5,5,4,4,4,4,5,5,5
,20,5,4,4,4,4,4,4,3,4,4,3,4,4,4,3,5,5,5
,21,5,4,4,4,4,3,3,3,4,4,3,3,3,3,3,5,5,4
,22,4,3,4,3,4,3,3,3,3,4,2,3,3,3,3,4,4,4
,23,4,3,4,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4
,24,4,3,4,3,3,3,3,3,3,3,2,2,3,3,3,4,3,4
,Daily Max,7,5,6,6,6,7,7,5,7,8,6,6,6,6,5,6,6,7
2022-09-02,01,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,3,3
,02,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,4,3,3
,03,4,3,3,3,3,3,3,3,2,3,2,2,2,2,3,4,3,3
,04,3,3,3,3,3,2,3,3,2,3,2,2,2,2,3,4,3,3
,05,3,3,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3
,06,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3
,07,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,11,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,12,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4
,13,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
,14,5,5,5,4,5,5,5,4,4,5,5,4,5,5,4,5,5,5
,15,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,6,5,5
,16,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,6,5,5
,17,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5
,18,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,6,5
,19,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
,21,4,4,4,3,4,4,3,3,3,4,3,3,3,3,3,4,4,4
,22,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,Daily Max,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,6,6,5
2022-09-03,01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,02,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
,03,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4
,04,4,4,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,3
,05,4,4,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4
,06,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,4
,07,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,4
,08,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,4
