ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (May 2021)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk ()."
			
Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2021-05-01,01,4,3,4,4,4,4,3,3,4,4,2,4,3,3,3,4,4,4
,02,4,3,4,4,4,4,3,3,4,4,2,3,3,3,2,4,4,4
,03,4,3,4,4,4,4,3,3,4,4,2,3,3,3,2,4,4,4
,04,4,3,4,3,4,4,3,3,4,4,2,3,3,3,2,4,4,4
,05,4,2,4,3,4,4,3,3,3,3,2,3,3,3,2,4,4,4
,06,4,2,4,3,4,3,3,3,3,3,2,3,3,2,2,3,4,4
,07,4,3,4,3,4,3,3,2,3,3,2,3,3,2,2,3,4,4
,08,4,3,4,4,4,3,3,3,3,4,2,3,3,2,2,4,4,4
,09,4,3,4,4,4,4,4,3,3,4,3,3,3,3,2,4,4,4
,10,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4
,11,4,5,5,5,5,5,5,4,5,4,4,5,4,5,4,5,5,5
,12,5,5,5,5,5,5,5,4,6,5,5,5,5,6,4,5,5,5
,13,6,6,6,6,6,6,5,5,7,6,6,6,5,7,4,6,6,6
,14,6,6,6,6,6,6,6,5,8,7,6,7,6,8,5,6,6,6
,15,6,6,6,6,6,6,6,6,8,7,6,7,6,8,6,6,6,6
,16,6,6,6,6,6,6,6,6,8,7,6,7,6,8,6,6,6,6
,17,6,6,6,6,6,6,6,6,8,7,6,7,6,8,6,6,6,6
,18,6,6,6,6,6,6,6,6,7,7,7,7,6,8,7,6,6,6
,19,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6
,20,6,6,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6
,21,5,5,6,5,6,5,5,5,6,6,4,6,5,6,5,6,6,5
,22,5,4,5,5,5,5,5,5,5,5,4,6,5,5,4,6,5,5
,23,5,4,5,5,5,5,5,4,5,5,3,5,4,5,3,5,5,5
,24,5,4,5,5,5,5,4,4,5,5,3,5,4,4,3,5,5,5
,Daily Max,6,6,6,6,6,6,6,6,8,7,7,7,6,8,7,6,6,6
