日平均相對濕度(百分比) - 天文台
Daily Mean Relative Humidity (%) at the Hong Kong Observatory
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
1961,1,1,64,C
1961,1,2,80,C
1961,1,3,95,C
1961,1,4,79,C
1961,1,5,83,C
1961,1,6,72,C
1961,1,7,73,C
1961,1,8,85,C
1961,1,9,94,C
1961,1,10,94,C
1961,1,11,64,C
1961,1,12,63,C
1961,1,13,50,C
1961,1,14,51,C
1961,1,15,59,C
1961,1,16,28,C
1961,1,17,26,C
1961,1,18,33,C
1961,1,19,56,C
1961,1,20,70,C
1961,1,21,72,C
1961,1,22,74,C
1961,1,23,89,C
1961,1,24,87,C
1961,1,25,60,C
1961,1,26,70,C
1961,1,27,67,C
1961,1,28,70,C
1961,1,29,81,C
1961,1,30,70,C
1961,1,31,61,C
1961,2,1,43,C
1961,2,2,35,C
1961,2,3,48,C
1961,2,4,77,C
1961,2,5,96,C
1961,2,6,89,C
1961,2,7,72,C
1961,2,8,77,C
1961,2,9,89,C
1961,2,10,96,C
1961,2,11,91,C
1961,2,12,84,C
1961,2,13,85,C
1961,2,14,88,C
1961,2,15,84,C
1961,2,16,89,C
1961,2,17,84,C
1961,2,18,92,C
1961,2,19,91,C
1961,2,20,98,C
1961,2,21,92,C
1961,2,22,92,C
1961,2,23,90,C
1961,2,24,78,C
1961,2,25,66,C
1961,2,26,51,C
1961,2,27,61,C
1961,2,28,88,C
1961,3,1,94,C
1961,3,2,90,C
1961,3,3,93,C
1961,3,4,96,C
1961,3,5,99,C
1961,3,6,99,C
1961,3,7,99,C
1961,3,8,98,C
1961,3,9,94,C
1961,3,10,89,C
1961,3,11,94,C
1961,3,12,85,C
1961,3,13,78,C
1961,3,14,83,C
1961,3,15,87,C
1961,3,16,92,C
1961,3,17,85,C
1961,3,18,90,C
1961,3,19,89,C
1961,3,20,94,C
1961,3,21,92,C
1961,3,22,96,C
1961,3,23,97,C
1961,3,24,94,C
1961,3,25,84,C
1961,3,26,54,C
1961,3,27,56,C
1961,3,28,64,C
1961,3,29,61,C
1961,3,30,59,C
1961,3,31,66,C
1961,4,1,76,C
1961,4,2,81,C
1961,4,3,88,C
1961,4,4,84,C
1961,4,5,87,C
1961,4,6,86,C
1961,4,7,80,C
1961,4,8,80,C
1961,4,9,87,C
1961,4,10,72,C
1961,4,11,75,C
1961,4,12,86,C
1961,4,13,96,C
1961,4,14,81,C
1961,4,15,73,C
1961,4,16,71,C
1961,4,17,80,C
1961,4,18,95,C
1961,4,19,97,C
1961,4,20,92,C
1961,4,21,90,C
1961,4,22,88,C
1961,4,23,93,C
1961,4,24,95,C
1961,4,25,91,C
1961,4,26,76,C
1961,4,27,70,C
1961,4,28,74,C
1961,4,29,71,C
1961,4,30,58,C
1961,5,1,68,C
1961,5,2,85,C
1961,5,3,80,C
1961,5,4,42,C
1961,5,5,65,C
1961,5,6,87,C
1961,5,7,78,C
1961,5,8,83,C
1961,5,9,83,C
1961,5,10,82,C
1961,5,11,80,C
1961,5,12,80,C
1961,5,13,90,C
1961,5,14,88,C
1961,5,15,82,C
1961,5,16,81,C
1961,5,17,87,C
1961,5,18,87,C
1961,5,19,91,C
1961,5,20,85,C
1961,5,21,84,C
1961,5,22,92,C
1961,5,23,84,C
1961,5,24,90,C
1961,5,25,86,C
1961,5,26,79,C
1961,5,27,76,C
1961,5,28,80,C
1961,5,29,78,C
1961,5,30,85,C
1961,5,31,81,C
1961,6,1,82,C
1961,6,2,83,C
1961,6,3,86,C
1961,6,4,86,C
1961,6,5,88,C
1961,6,6,88,C
1961,6,7,84,C
1961,6,8,81,C
