平均相對濕度(百分比) - 京士柏
Mean Relative Humidity (%) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,61,C
2023,1,2,62,C
2023,1,3,67,C
2023,1,4,73,C
2023,1,5,77,C
2023,1,6,59,C
2023,1,7,55,C
2023,1,8,53,C
2023,1,9,71,C
2023,1,10,92,C
2023,1,11,88,C
2023,1,12,89,C
2023,1,13,95,C
2023,1,14,90,C
2023,1,15,78,C
2023,1,16,63,C
2023,1,17,69,C
2023,1,18,55,C
2023,1,19,59,C
2023,1,20,57,C
2023,1,21,79,C
2023,1,22,83,C
2023,1,23,87,C
2023,1,24,46,C
2023,1,25,52,C
2023,1,26,66,C
2023,1,27,40,C
2023,1,28,20,C
2023,1,29,28,C
2023,1,30,40,C
2023,1,31,58,C
2023,2,1,77,C
2023,2,2,77,C
2023,2,3,76,C
2023,2,4,82,C
2023,2,5,84,C
2023,2,6,85,C
2023,2,7,84,C
2023,2,8,86,C
2023,2,9,84,C
2023,2,10,88,C
2023,2,11,95,C
2023,2,12,96,C
2023,2,13,89,C
2023,2,14,61,C
2023,2,15,58,C
2023,2,16,60,C
2023,2,17,70,C
2023,2,18,67,C
2023,2,19,67,C
2023,2,20,64,C
2023,2,21,62,C
2023,2,22,60,C
2023,2,23,69,C
2023,2,24,65,C
2023,2,25,51,C
2023,2,26,55,C
2023,2,27,58,C
2023,2,28,70,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
