平均相對濕度(百分比) - 滘西洲
Mean Relative Humidity (%) - Kau Sai Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,71,C
2023,1,2,69,C
2023,1,3,75,C
2023,1,4,78,C
2023,1,5,83,C
2023,1,6,69,C
2023,1,7,64,C
2023,1,8,68,C
2023,1,9,79,C
2023,1,10,96,C
2023,1,11,93,C
2023,1,12,92,C
2023,1,13,99,C
2023,1,14,91,C
2023,1,15,83,C
2023,1,16,71,C
2023,1,17,73,C
2023,1,18,61,C
2023,1,19,70,C
2023,1,20,65,C
2023,1,21,83,C
2023,1,22,89,C
2023,1,23,92,C
2023,1,24,53,C
2023,1,25,58,C
2023,1,26,73,C
2023,1,27,47,C
2023,1,28,31,C
2023,1,29,39,C
2023,1,30,55,C
2023,1,31,67,C
2023,2,1,79,C
2023,2,2,86,C
2023,2,3,81,C
2023,2,4,88,C
2023,2,5,90,C
2023,2,6,92,C
2023,2,7,91,C
2023,2,8,89,C
2023,2,9,89,C
2023,2,10,92,C
2023,2,11,98,C
2023,2,12,99,C
2023,2,13,95,C
2023,2,14,66,C
2023,2,15,65,C
2023,2,16,66,C
2023,2,17,76,C
2023,2,18,76,C
2023,2,19,73,C
2023,2,20,70,C
2023,2,21,67,C
2023,2,22,66,C
2023,2,23,77,C
2023,2,24,72,C
2023,2,25,61,#
2023,2,26,62,C
2023,2,27,63,C
2023,2,28,76,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
