平均相對濕度(百分比) - 滘西洲
Mean Relative Humidity (%) - Kau Sai Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2008,7,3,78,C
2008,7,4,79,C
2008,7,5,84,C
2008,7,6,90,C
2008,7,7,91,C
2008,7,8,88,C
2008,7,9,91,C
2008,7,10,90,C
2008,7,11,85,C
2008,7,12,90,C
2008,7,13,91,C
2008,7,14,88,C
2008,7,15,86,C
2008,7,16,83,C
2008,7,17,77,C
2008,7,18,75,C
2008,7,19,78,C
2008,7,20,79,C
2008,7,21,77,C
2008,7,22,74,C
2008,7,23,73,C
2008,7,24,73,C
2008,7,25,72,C
2008,7,26,73,C
2008,7,27,72,C
2008,7,28,67,C
2008,7,29,76,C
2008,7,30,83,C
2008,7,31,86,C
2008,8,1,84,C
2008,8,2,78,C
2008,8,3,77,C
2008,8,4,77,C
2008,8,5,83,C
2008,8,6,88,#
2008,8,7,86,C
2008,8,8,91,C
2008,8,9,82,C
2008,8,10,81,C
2008,8,11,90,C
2008,8,12,88,C
2008,8,13,80,C
2008,8,14,77,C
2008,8,15,76,C
2008,8,16,77,C
2008,8,17,80,C
2008,8,18,79,C
2008,8,19,81,C
2008,8,20,74,C
2008,8,21,71,C
2008,8,22,82,C
2008,8,23,81,C
2008,8,24,88,C
2008,8,25,88,C
2008,8,26,83,C
2008,8,27,80,C
2008,8,28,81,C
2008,8,29,78,C
2008,8,30,78,C
2008,8,31,77,C
2008,9,1,79,#
2008,9,2,89,C
2008,9,3,86,C
2008,9,4,84,C
2008,9,5,89,C
2008,9,6,86,C
2008,9,7,80,C
2008,9,8,77,C
2008,9,9,74,C
2008,9,10,73,C
2008,9,11,75,C
2008,9,12,71,C
2008,9,13,64,C
2008,9,14,58,C
2008,9,15,63,C
2008,9,16,68,C
2008,9,17,79,C
2008,9,18,83,C
2008,9,19,84,C
2008,9,20,82,C
2008,9,21,76,C
2008,9,22,71,C
2008,9,23,72,C
2008,9,24,86,C
2008,9,25,85,#
2008,9,26,80,C
2008,9,27,77,C
2008,9,28,70,C
2008,9,29,61,C
2008,9,30,64,C
2008,10,1,70,C
2008,10,2,78,C
2008,10,3,81,C
2008,10,4,84,C
2008,10,5,87,C
2008,10,6,75,C
2008,10,7,80,C
2008,10,8,75,C
2008,10,9,72,C
2008,10,10,73,C
2008,10,11,76,C
2008,10,12,73,C
2008,10,13,77,C
2008,10,14,77,C
2008,10,15,74,C
2008,10,16,79,C
2008,10,17,85,C
2008,10,18,78,C
2008,10,19,76,C
2008,10,20,75,C
2008,10,21,77,C
2008,10,22,82,C
2008,10,23,81,C
2008,10,24,77,C
2008,10,25,77,C
2008,10,26,81,C
2008,10,27,81,C
2008,10,28,76,C
2008,10,29,77,C
2008,10,30,79,C
2008,10,31,81,C
2008,11,1,81,C
2008,11,2,83,C
2008,11,3,84,C
2008,11,4,80,C
2008,11,5,81,C
2008,11,6,82,C
2008,11,7,82,C
2008,11,8,72,C
2008,11,9,64,C
2008,11,10,50,C
2008,11,11,47,C
2008,11,12,53,C
2008,11,13,61,C
2008,11,14,72,C
2008,11,15,77,C
2008,11,16,74,C
2008,11,17,73,C
2008,11,18,68,C
2008,11,19,57,C
2008,11,20,54,C
2008,11,21,62,C
2008,11,22,68,C
2008,11,23,74,C
2008,11,24,57,C
2008,11,25,59,C
2008,11,26,63,C
2008,11,27,31,C
2008,11,28,37,C
2008,11,29,38,C
2008,11,30,48,C
2008,12,1,67,C
2008,12,2,62,C
2008,12,3,64,C
2008,12,4,62,C
2008,12,5,45,C
2008,12,6,39,C
2008,12,7,54,C
2008,12,8,44,C
