平均相對濕度(百分比) - 坪洲
Mean Relative Humidity (%) - Peng Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,69,C
2023,1,3,73,C
2023,1,4,77,#
2023,1,5,82,C
2023,1,6,69,C
2023,1,7,61,C
2023,1,8,62,C
2023,1,9,78,C
2023,1,10,95,C
2023,1,11,90,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,97,C
2023,1,15,83,C
2023,1,16,70,C
2023,1,17,76,C
2023,1,18,62,C
2023,1,19,65,C
2023,1,20,67,C
2023,1,21,82,C
2023,1,22,86,C
2023,1,23,88,C
2023,1,24,54,C
2023,1,25,57,C
2023,1,26,70,C
2023,1,27,50,C
2023,1,28,31,C
2023,1,29,41,C
2023,1,30,48,C
2023,1,31,65,C
2023,2,1,81,C
2023,2,2,81,C
2023,2,3,79,C
2023,2,4,83,C
2023,2,5,86,C
2023,2,6,88,C
2023,2,7,87,C
2023,2,8,88,C
2023,2,9,86,C
2023,2,10,88,C
2023,2,11,93,C
2023,2,12,94,C
2023,2,13,90,C
2023,2,14,67,C
2023,2,15,64,C
2023,2,16,64,C
2023,2,17,75,C
2023,2,18,72,C
2023,2,19,73,C
2023,2,20,67,C
2023,2,21,66,C
2023,2,22,64,C
2023,2,23,72,C
2023,2,24,71,C
2023,2,25,57,C
2023,2,26,61,C
2023,2,27,62,C
2023,2,28,73,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
