平均相對濕度(百分比) - 沙田
Mean Relative Humidity (%) - Sha Tin
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,66,C
2023,1,2,67,C
2023,1,3,72,C
2023,1,4,75,C
2023,1,5,77,C
2023,1,6,65,C
2023,1,7,59,C
2023,1,8,61,C
2023,1,9,78,C
2023,1,10,93,C
2023,1,11,89,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,91,C
2023,1,15,80,C
2023,1,16,66,C
2023,1,17,73,C
2023,1,18,61,C
2023,1,19,68,C
2023,1,20,62,C
2023,1,21,81,C
2023,1,22,84,C
2023,1,23,89,C
2023,1,24,51,C
2023,1,25,54,C
2023,1,26,67,C
2023,1,27,47,C
2023,1,28,31,C
2023,1,29,39,C
2023,1,30,55,C
2023,1,31,67,C
2023,2,1,76,C
2023,2,2,82,C
2023,2,3,75,C
2023,2,4,82,C
2023,2,5,85,C
2023,2,6,89,C
2023,2,7,86,C
2023,2,8,86,C
2023,2,9,86,C
2023,2,10,89,C
2023,2,11,93,C
2023,2,12,94,C
2023,2,13,90,C
2023,2,14,65,C
2023,2,15,60,C
2023,2,16,61,C
2023,2,17,69,C
2023,2,18,74,C
2023,2,19,74,C
2023,2,20,65,C
2023,2,21,67,C
2023,2,22,64,C
2023,2,23,71,C
2023,2,24,65,C
2023,2,25,57,C
2023,2,26,59,C
2023,2,27,62,C
2023,2,28,73,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
