平均相對濕度(百分比) - 沙田
Mean Relative Humidity (%) - Sha Tin
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
1984,10,1,***,
1984,10,2,76,C
1984,10,3,71,C
1984,10,4,73,C
1984,10,5,75,C
1984,10,6,69,#
1984,10,7,71,C
1984,10,8,75,C
1984,10,9,76,C
1984,10,10,80,C
1984,10,11,74,C
1984,10,12,70,C
1984,10,13,70,C
1984,10,14,69,C
1984,10,15,74,C
1984,10,16,77,C
1984,10,17,83,C
1984,10,18,70,C
1984,10,19,63,C
1984,10,20,49,C
1984,10,21,53,C
1984,10,22,68,C
1984,10,23,71,C
1984,10,24,70,C
1984,10,25,67,C
1984,10,26,55,C
1984,10,27,57,C
1984,10,28,63,C
1984,10,29,60,C
1984,10,30,60,C
1984,10,31,61,C
1984,11,1,61,C
1984,11,2,65,C
1984,11,3,58,C
1984,11,4,72,C
1984,11,5,72,C
1984,11,6,76,C
1984,11,7,76,C
1984,11,8,79,C
1984,11,9,77,C
1984,11,10,78,C
1984,11,11,75,C
1984,11,12,81,C
1984,11,13,81,C
1984,11,14,85,C
1984,11,15,75,C
1984,11,16,75,C
1984,11,17,81,C
1984,11,18,57,C
1984,11,19,53,C
1984,11,20,61,C
1984,11,21,58,C
1984,11,22,68,C
1984,11,23,76,C
1984,11,24,66,C
1984,11,25,60,C
1984,11,26,67,C
1984,11,27,60,C
1984,11,28,64,C
1984,11,29,64,C
1984,11,30,64,C
1984,12,1,56,C
1984,12,2,75,C
1984,12,3,89,C
1984,12,4,80,C
1984,12,5,59,C
1984,12,6,68,C
1984,12,7,70,C
1984,12,8,72,C
1984,12,9,77,C
1984,12,10,78,C
1984,12,11,76,C
1984,12,12,84,C
1984,12,13,78,C
1984,12,14,79,C
1984,12,15,82,C
1984,12,16,84,C
1984,12,17,84,C
1984,12,18,73,C
1984,12,19,79,C
1984,12,20,82,C
1984,12,21,76,C
1984,12,22,68,C
1984,12,23,58,C
1984,12,24,50,C
1984,12,25,55,C
1984,12,26,52,C
1984,12,27,50,C
1984,12,28,50,C
1984,12,29,45,C
1984,12,30,55,C
1984,12,31,69,C
1985,1,1,79,C
1985,1,2,83,C
1985,1,3,82,C
1985,1,4,73,C
1985,1,5,71,C
1985,1,6,74,C
1985,1,7,75,C
1985,1,8,79,C
1985,1,9,81,C
1985,1,10,67,C
1985,1,11,80,C
1985,1,12,84,C
1985,1,13,59,C
1985,1,14,60,C
1985,1,15,66,C
1985,1,16,67,C
1985,1,17,78,C
1985,1,18,82,C
1985,1,19,77,C
1985,1,20,72,C
1985,1,21,71,C
1985,1,22,78,C
1985,1,23,80,C
1985,1,24,77,C
1985,1,25,74,C
1985,1,26,83,C
1985,1,27,74,C
1985,1,28,77,C
1985,1,29,68,C
1985,1,30,68,C
1985,1,31,69,C
1985,2,1,59,#
1985,2,2,70,C
1985,2,3,75,C
1985,2,4,78,C
1985,2,5,86,C
1985,2,6,87,#
1985,2,7,***,
1985,2,8,***,
1985,2,9,***,
1985,2,10,***,
1985,2,11,***,
1985,2,12,***,
1985,2,13,***,
1985,2,14,***,
1985,2,15,***,
1985,2,16,***,
1985,2,17,***,
1985,2,18,***,
1985,2,19,***,
1985,2,20,***,
1985,2,21,***,
1985,2,22,***,
1985,2,23,***,
1985,2,24,***,
1985,2,25,***,
1985,2,26,***,
1985,2,27,***,
1985,2,28,***,
1985,3,1,***,
1985,3,2,***,
1985,3,3,***,
1985,3,4,***,
1985,3,5,***,
1985,3,6,***,
1985,3,7,***,
1985,3,8,***,
1985,3,9,***,
1985,3,10,***,
1985,3,11,70,#
1985,3,12,80,C
1985,3,13,81,C
1985,3,14,75,#
1985,3,15,75,C
1985,3,16,73,C
1985,3,17,73,C
1985,3,18,77,C
1985,3,19,72,C
1985,3,20,74,C
1985,3,21,67,C
1985,3,22,77,C
1985,3,23,81,C
1985,3,24,76,C
1985,3,25,81,C
1985,3,26,87,C
1985,3,27,93,C
1985,3,28,92,C
1985,3,29,89,C
1985,3,30,87,C
1985,3,31,83,C
1985,4,1,66,C
1985,4,2,78,C
1985,4,3,83,C
1985,4,4,73,C
1985,4,5,73,C
1985,4,6,84,C
1985,4,7,87,C
1985,4,8,92,C
1985,4,9,95,C
1985,4,10,91,C
1985,4,11,86,C
1985,4,12,81,C
1985,4,13,90,C
1985,4,14,91,C
1985,4,15,89,C
1985,4,16,81,C
1985,4,17,68,C
1985,4,18,55,C
1985,4,19,84,C
1985,4,20,90,C
1985,4,21,87,C
1985,4,22,83,C
1985,4,23,78,C
1985,4,24,80,C
1985,4,25,82,C
1985,4,26,81,C
1985,4,27,82,C
1985,4,28,83,C
1985,4,29,78,C
1985,4,30,83,C
1985,5,1,90,C
1985,5,2,93,C
1985,5,3,95,C
1985,5,4,90,C
1985,5,5,87,C
1985,5,6,85,C
1985,5,7,86,#
1985,5,8,83,#
1985,5,9,77,#
1985,5,10,83,C
1985,5,11,78,C
1985,5,12,81,C
1985,5,13,80,C
1985,5,14,80,C
1985,5,15,77,C
1985,5,16,78,C
1985,5,17,75,C
1985,5,18,72,C
1985,5,19,71,C
1985,5,20,75,C
1985,5,21,79,C
1985,5,22,70,C
1985,5,23,75,C
1985,5,24,77,C
1985,5,25,80,C
1985,5,26,77,C
1985,5,27,82,C
1985,5,28,85,C
1985,5,29,86,C
1985,5,30,89,C
1985,5,31,91,C
1985,6,1,87,C
1985,6,2,81,C
1985,6,3,85,C
1985,6,4,88,C
1985,6,5,88,C
1985,6,6,86,C
1985,6,7,88,C
1985,6,8,72,C
1985,6,9,76,C
1985,6,10,83,C
1985,6,11,85,C
1985,6,12,83,C
1985,6,13,82,C
1985,6,14,76,C
1985,6,15,66,C
1985,6,16,76,C
1985,6,17,73,C
1985,6,18,77,C
1985,6,19,81,C
1985,6,20,85,C
1985,6,21,85,C
1985,6,22,76,C
1985,6,23,72,C
1985,6,24,80,C
1985,6,25,92,C
1985,6,26,90,C
1985,6,27,90,C
1985,6,28,85,#
1985,6,29,80,C
1985,6,30,81,C
1985,7,1,85,C
1985,7,2,84,C
1985,7,3,90,C
1985,7,4,83,#
1985,7,5,82,C
1985,7,6,76,C
1985,7,7,73,C
1985,7,8,81,C
1985,7,9,84,C
1985,7,10,82,C
1985,7,11,82,C
1985,7,12,79,C
1985,7,13,82,#
1985,7,14,80,C
1985,7,15,79,C
1985,7,16,80,C
1985,7,17,80,C
1985,7,18,88,C
1985,7,19,91,C
1985,7,20,85,C
1985,7,21,78,C
1985,7,22,79,C
1985,7,23,78,C
1985,7,24,79,C
1985,7,25,81,C
1985,7,26,87,C
1985,7,27,87,C
1985,7,28,85,C
1985,7,29,84,C
1985,7,30,85,C
1985,7,31,85,C
1985,8,1,86,C
1985,8,2,86,C
1985,8,3,93,C
1985,8,4,95,#
1985,8,5,***,
1985,8,6,***,
1985,8,7,***,
1985,8,8,***,
1985,8,9,***,
1985,8,10,***,
1985,8,11,***,
1985,8,12,***,
1985,8,13,***,
1985,8,14,***,
1985,8,15,***,
1985,8,16,***,
1985,8,17,***,
1985,8,18,***,
1985,8,19,***,
1985,8,20,***,
1985,8,21,***,
1985,8,22,***,
1985,8,23,***,
1985,8,24,***,
1985,8,25,***,
1985,8,26,***,
1985,8,27,***,
1985,8,28,***,
1985,8,29,***,
1985,8,30,***,
1985,8,31,***,
1985,9,1,97,C
1985,9,2,97,C
1985,9,3,97,C
1985,9,4,96,C
1985,9,5,95,C
1985,9,6,94,C
1985,9,7,88,#
1985,9,8,***,
1985,9,9,***,
1985,9,10,***,
1985,9,11,***,
1985,9,12,***,
1985,9,13,***,
1985,9,14,***,
1985,9,15,***,
1985,9,16,***,
1985,9,17,***,
1985,9,18,***,
1985,9,19,***,
1985,9,20,***,
1985,9,21,***,
1985,9,22,***,
1985,9,23,***,
1985,9,24,***,
1985,9,25,***,
1985,9,26,***,
1985,9,27,***,
1985,9,28,***,
1985,9,29,***,
1985,9,30,***,
1985,10,1,***,
1985,10,2,***,
1985,10,3,51,#
1985,10,4,40,C
1985,10,5,42,C
1985,10,6,67,C
1985,10,7,72,C
1985,10,8,79,C
1985,10,9,77,C
1985,10,10,77,C
1985,10,11,76,C
1985,10,12,73,C
1985,10,13,71,C
1985,10,14,75,C
1985,10,15,75,C
1985,10,16,76,C
1985,10,17,80,C
1985,10,18,76,C
1985,10,19,74,C
1985,10,20,75,C
1985,10,21,81,C
1985,10,22,77,C
1985,10,23,78,C
1985,10,24,82,C
1985,10,25,78,C
1985,10,26,79,C
1985,10,27,77,C
1985,10,28,74,#
1985,10,29,***,
1985,10,30,76,#
1985,10,31,62,C
1985,11,1,58,C
1985,11,2,68,C
1985,11,3,66,C
1985,11,4,67,C
1985,11,5,74,C
1985,11,6,80,C
1985,11,7,73,C
1985,11,8,68,C
1985,11,9,67,C
1985,11,10,66,C
1985,11,11,80,C
1985,11,12,79,C
1985,11,13,73,C
1985,11,14,62,C
1985,11,15,66,C
1985,11,16,63,C
1985,11,17,64,C
1985,11,18,68,C
1985,11,19,77,C
1985,11,20,75,C
1985,11,21,88,C
1985,11,22,85,C
1985,11,23,82,C
1985,11,24,63,C
1985,11,25,64,C
1985,11,26,67,C
1985,11,27,82,C
1985,11,28,79,C
1985,11,29,72,C
1985,11,30,72,C
1985,12,1,69,C
1985,12,2,63,C
1985,12,3,73,C
1985,12,4,80,C
1985,12,5,83,C
1985,12,6,72,C
1985,12,7,71,C
1985,12,8,70,C
1985,12,9,78,C
1985,12,10,84,C
1985,12,11,85,C
1985,12,12,64,C
1985,12,13,68,C
1985,12,14,40,C
1985,12,15,19,C
1985,12,16,23,C
1985,12,17,53,C
1985,12,18,56,C
1985,12,19,39,C
1985,12,20,56,C
1985,12,21,62,C
1985,12,22,44,C
1985,12,23,41,C
1985,12,24,53,C
1985,12,25,67,C
1985,12,26,75,C
1985,12,27,79,C
1985,12,28,73,C
1985,12,29,70,C
1985,12,30,81,C
1985,12,31,64,#
1986,1,1,***,
1986,1,2,57,#
1986,1,3,58,C
1986,1,4,39,C
1986,1,5,33,#
1986,1,6,45,#
1986,1,7,46,C
1986,1,8,52,C
1986,1,9,69,C
1986,1,10,67,C
1986,1,11,55,C
1986,1,12,69,C
1986,1,13,70,C
1986,1,14,67,C
1986,1,15,72,C
1986,1,16,75,C
1986,1,17,77,C
1986,1,18,80,C
1986,1,19,74,C
1986,1,20,77,C
1986,1,21,78,C
1986,1,22,73,C
1986,1,23,69,C
1986,1,24,68,C
1986,1,25,68,C
1986,1,26,63,C
1986,1,27,61,C
1986,1,28,67,C
1986,1,29,62,#
1986,1,30,76,C
1986,1,31,83,C
1986,2,1,76,C
1986,2,2,80,C
1986,2,3,82,C
1986,2,4,82,C
1986,2,5,88,C
1986,2,6,74,C
1986,2,7,74,C
1986,2,8,63,C
1986,2,9,61,C
1986,2,10,60,C
1986,2,11,67,C
1986,2,12,68,C
1986,2,13,75,C
1986,2,14,87,C
1986,2,15,85,C
1986,2,16,84,C
1986,2,17,91,C
1986,2,18,76,C
1986,2,19,84,C
1986,2,20,67,C
1986,2,21,60,C
1986,2,22,71,C
1986,2,23,70,C
1986,2,24,59,C
1986,2,25,55,C
1986,2,26,73,C
1986,2,27,78,C
1986,2,28,82,C
1986,3,1,72,C
1986,3,2,44,C
1986,3,3,46,C
1986,3,4,83,#
1986,3,5,61,#
1986,3,6,59,C
1986,3,7,58,C
1986,3,8,58,C
1986,3,9,77,C
1986,3,10,84,C
1986,3,11,87,C
1986,3,12,91,C
1986,3,13,93,C
1986,3,14,92,C
1986,3,15,88,C
1986,3,16,93,C
1986,3,17,91,C
1986,3,18,91,C
1986,3,19,85,C
1986,3,20,88,C
1986,3,21,90,C
1986,3,22,77,C
1986,3,23,73,C
1986,3,24,81,C
1986,3,25,83,C
1986,3,26,86,C
1986,3,27,87,C
1986,3,28,93,C
1986,3,29,91,C
1986,3,30,86,C
1986,3,31,88,C
1986,4,1,80,#
1986,4,2,88,C
1986,4,3,87,C
1986,4,4,85,C
1986,4,5,86,C
1986,4,6,72,C
1986,4,7,55,C
1986,4,8,73,C
1986,4,9,83,C
1986,4,10,82,C
1986,4,11,79,C
1986,4,12,65,C
1986,4,13,79,C
1986,4,14,85,C
1986,4,15,83,C
1986,4,16,78,C
1986,4,17,89,C
1986,4,18,86,C
1986,4,19,81,C
1986,4,20,88,C
1986,4,21,90,C
1986,4,22,87,C
1986,4,23,84,C
1986,4,24,85,C
1986,4,25,87,C
1986,4,26,84,C
1986,4,27,79,C
1986,4,28,77,C
1986,4,29,79,C
1986,4,30,81,C
1986,5,1,80,C
1986,5,2,85,C
1986,5,3,82,C
1986,5,4,80,C
1986,5,5,80,#
1986,5,6,90,#
1986,5,7,87,C
1986,5,8,84,C
1986,5,9,80,C
1986,5,10,83,C
1986,5,11,92,C
1986,5,12,91,C
1986,5,13,83,C
1986,5,14,77,C
1986,5,15,57,C
1986,5,16,62,C
1986,5,17,68,C
1986,5,18,82,C
1986,5,19,84,C
1986,5,20,83,C
1986,5,21,86,C
1986,5,22,86,C
1986,5,23,88,C
1986,5,24,80,C
1986,5,25,74,C
1986,5,26,80,C
1986,5,27,77,C
1986,5,28,80,C
1986,5,29,82,C
1986,5,30,82,C
1986,5,31,81,C
1986,6,1,84,C
1986,6,2,77,C
1986,6,3,78,#
1986,6,4,87,C
1986,6,5,84,C
1986,6,6,91,C
1986,6,7,91,C
1986,6,8,85,C
1986,6,9,78,C
1986,6,10,73,C
1986,6,11,78,C
1986,6,12,83,C
1986,6,13,89,C
1986,6,14,82,C
1986,6,15,78,C
1986,6,16,73,C
1986,6,17,80,C
1986,6,18,86,C
1986,6,19,82,C
1986,6,20,82,C
1986,6,21,79,C
1986,6,22,77,C
1986,6,23,79,C
1986,6,24,80,C
1986,6,25,85,C
1986,6,26,84,C
1986,6,27,79,#
1986,6,28,73,#
1986,6,29,77,C
1986,6,30,76,C
1986,7,1,78,C
1986,7,2,78,C
1986,7,3,88,C
1986,7,4,87,C
1986,7,5,83,C
1986,7,6,80,C
1986,7,7,80,C
1986,7,8,82,C
1986,7,9,77,C
1986,7,10,75,C
1986,7,11,77,C
1986,7,12,90,#
1986,7,13,80,C
1986,7,14,81,C
1986,7,15,76,C
1986,7,16,83,C
1986,7,17,82,C
1986,7,18,82,C
1986,7,19,80,C
1986,7,20,80,C
1986,7,21,83,C
1986,7,22,81,C
1986,7,23,78,C
1986,7,24,80,C
1986,7,25,77,C
1986,7,26,75,C
1986,7,27,76,C
1986,7,28,74,C
1986,7,29,76,C
1986,7,30,73,C
1986,7,31,75,C
1986,8,1,79,C
1986,8,2,73,C
1986,8,3,72,C
1986,8,4,70,C
1986,8,5,71,C
1986,8,6,78,C
1986,8,7,75,C
1986,8,8,73,C
1986,8,9,69,C
1986,8,10,82,C
1986,8,11,86,C
1986,8,12,80,C
1986,8,13,81,C
1986,8,14,76,C
1986,8,15,73,C
1986,8,16,75,C
1986,8,17,82,C
1986,8,18,74,C
1986,8,19,72,C
1986,8,20,80,C
1986,8,21,74,C
1986,8,22,84,C
1986,8,23,86,C
1986,8,24,80,C
1986,8,25,60,C
1986,8,26,67,C
1986,8,27,67,C
1986,8,28,64,C
1986,8,29,72,C
1986,8,30,79,C
1986,8,31,79,C
1986,9,1,78,C
1986,9,2,76,C
1986,9,3,79,C
1986,9,4,81,C
1986,9,5,79,C
1986,9,6,82,C
1986,9,7,82,C
1986,9,8,80,C
1986,9,9,79,C
1986,9,10,79,C
1986,9,11,79,C
1986,9,12,80,C
1986,9,13,77,C
1986,9,14,76,C
1986,9,15,74,C
1986,9,16,81,C
1986,9,17,61,C
1986,9,18,47,C
1986,9,19,33,C
1986,9,20,36,C
1986,9,21,54,C
1986,9,22,66,C
1986,9,23,70,C
1986,9,24,69,C
1986,9,25,62,C
1986,9,26,68,C
1986,9,27,76,C
1986,9,28,80,C
1986,9,29,81,C
1986,9,30,58,C
1986,10,1,62,C
1986,10,2,65,C
1986,10,3,64,C
1986,10,4,67,C
1986,10,5,75,C
1986,10,6,67,C
1986,10,7,70,C
1986,10,8,70,C
1986,10,9,73,C
1986,10,10,69,C
1986,10,11,60,#
1986,10,12,63,C
1986,10,13,66,C
1986,10,14,67,C
1986,10,15,66,C
1986,10,16,61,C
1986,10,17,70,C
1986,10,18,76,C
1986,10,19,71,C
1986,10,20,69,C
1986,10,21,72,C
1986,10,22,71,C
1986,10,23,72,C
1986,10,24,72,C
1986,10,25,77,C
1986,10,26,79,C
1986,10,27,78,C
1986,10,28,85,C
1986,10,29,59,C
1986,10,30,58,C
1986,10,31,58,C
1986,11,1,68,C
1986,11,2,78,C
1986,11,3,78,C
1986,11,4,60,C
1986,11,5,73,C
1986,11,6,71,C
1986,11,7,78,C
1986,11,8,70,C
1986,11,9,48,C
1986,11,10,53,C
1986,11,11,85,C
1986,11,12,79,C
1986,11,13,79,C
1986,11,14,76,C
1986,11,15,87,C
1986,11,16,83,C
1986,11,17,67,C
1986,11,18,88,C
1986,11,19,84,C
1986,11,20,66,C
1986,11,21,66,C
1986,11,22,66,C
1986,11,23,75,C
1986,11,24,68,C
1986,11,25,66,C
1986,11,26,65,C
1986,11,27,64,C
1986,11,28,63,C
1986,11,29,60,C
1986,11,30,59,C
1986,12,1,67,C
1986,12,2,83,C
1986,12,3,84,C
1986,12,4,49,C
1986,12,5,72,C
1986,12,6,81,C
1986,12,7,83,C
1986,12,8,69,C
1986,12,9,67,C
1986,12,10,68,C
1986,12,11,74,C
1986,12,12,71,C
1986,12,13,83,C
1986,12,14,77,C
1986,12,15,72,C
1986,12,16,74,C
1986,12,17,78,C
1986,12,18,80,C
1986,12,19,45,C
1986,12,20,60,C
1986,12,21,69,C
1986,12,22,58,C
1986,12,23,78,C
1986,12,24,79,C
1986,12,25,74,C
1986,12,26,87,#
1986,12,27,63,C
1986,12,28,60,C
1986,12,29,74,C
1986,12,30,81,C
1986,12,31,83,C
1987,1,1,80,#
1987,1,2,84,C
1987,1,3,89,C
1987,1,4,88,C
1987,1,5,69,C
1987,1,6,72,C
1987,1,7,72,C
1987,1,8,65,C
1987,1,9,73,C
1987,1,10,69,C
1987,1,11,73,C
1987,1,12,45,C
1987,1,13,42,C
1987,1,14,61,C
1987,1,15,74,C
1987,1,16,77,C
1987,1,17,76,C
1987,1,18,76,C
1987,1,19,70,C
1987,1,20,70,C
1987,1,21,73,C
1987,1,22,77,C
1987,1,23,81,C
1987,1,24,58,C
1987,1,25,48,C
1987,1,26,48,C
1987,1,27,52,C
1987,1,28,67,C
1987,1,29,66,C
1987,1,30,72,C
1987,1,31,74,C
1987,2,1,75,#
1987,2,2,71,C
1987,2,3,46,C
1987,2,4,53,C
1987,2,5,70,C
1987,2,6,71,C
1987,2,7,64,C
1987,2,8,63,C
1987,2,9,59,C
1987,2,10,80,C
1987,2,11,82,C
1987,2,12,83,C
1987,2,13,86,C
1987,2,14,82,C
1987,2,15,81,C
1987,2,16,76,C
1987,2,17,81,C
1987,2,18,78,C
1987,2,19,78,C
1987,2,20,80,C
1987,2,21,82,C
1987,2,22,81,C
1987,2,23,83,C
1987,2,24,82,C
1987,2,25,80,C
1987,2,26,84,C
1987,2,27,72,C
1987,2,28,58,C
1987,3,1,62,C
1987,3,2,57,C
1987,3,3,69,C
1987,3,4,80,C
1987,3,5,81,C
1987,3,6,83,C
1987,3,7,81,C
1987,3,8,77,C
1987,3,9,82,C
1987,3,10,79,C
1987,3,11,88,C
1987,3,12,87,C
1987,3,13,80,C
1987,3,14,77,C
1987,3,15,83,C
1987,3,16,89,C
1987,3,17,90,#
1987,3,18,***,
1987,3,19,78,#
1987,3,20,85,C
1987,3,21,85,C
1987,3,22,84,C
1987,3,23,78,C
1987,3,24,84,C
1987,3,25,83,C
1987,3,26,73,C
1987,3,27,82,C
1987,3,28,86,C
1987,3,29,90,C
1987,3,30,84,C
1987,3,31,87,C
1987,4,1,80,C
1987,4,2,86,C
1987,4,3,79,C
1987,4,4,83,C
1987,4,5,91,C
1987,4,6,90,C
1987,4,7,89,C
1987,4,8,85,C
1987,4,9,88,C
1987,4,10,86,C
1987,4,11,78,C
1987,4,12,87,C
1987,4,13,86,C
1987,4,14,84,C
1987,4,15,77,C
1987,4,16,75,C
1987,4,17,68,C
1987,4,18,76,C
1987,4,19,73,C
1987,4,20,82,C
1987,4,21,82,C
1987,4,22,82,C
1987,4,23,80,C
1987,4,24,75,C
1987,4,25,76,C
1987,4,26,75,C
1987,4,27,76,C
1987,4,28,79,C
1987,4,29,81,C
1987,4,30,84,C
1987,5,1,79,C
1987,5,2,79,C
1987,5,3,83,C
1987,5,4,80,C
1987,5,5,89,C
1987,5,6,84,C
1987,5,7,87,C
1987,5,8,91,C
1987,5,9,82,C
1987,5,10,83,C
1987,5,11,80,C
1987,5,12,79,C
1987,5,13,79,C
1987,5,14,80,C
1987,5,15,81,C
1987,5,16,89,C
1987,5,17,87,C
1987,5,18,82,C
1987,5,19,86,C
1987,5,20,85,C
1987,5,21,81,C
1987,5,22,90,C
1987,5,23,90,C
1987,5,24,86,C
1987,5,25,84,C
1987,5,26,88,C
1987,5,27,92,C
1987,5,28,91,C
1987,5,29,87,C
1987,5,30,83,C
1987,5,31,83,C
1987,6,1,83,C
1987,6,2,80,C
1987,6,3,79,C
1987,6,4,88,C
1987,6,5,88,C
1987,6,6,88,C
1987,6,7,89,C
1987,6,8,72,C
1987,6,9,72,C
1987,6,10,64,C
1987,6,11,68,C
1987,6,12,78,C
1987,6,13,77,C
1987,6,14,78,C
1987,6,15,74,C
1987,6,16,80,C
1987,6,17,78,C
1987,6,18,81,C
1987,6,19,86,C
1987,6,20,86,C
1987,6,21,82,C
1987,6,22,82,C
1987,6,23,80,C
1987,6,24,80,C
1987,6,25,79,C
1987,6,26,77,C
1987,6,27,78,C
1987,6,28,77,C
1987,6,29,74,C
1987,6,30,73,C
1987,7,1,75,C
1987,7,2,79,C
1987,7,3,78,C
1987,7,4,76,C
1987,7,5,76,C
1987,7,6,78,C
1987,7,7,82,C
1987,7,8,82,C
1987,7,9,80,C
1987,7,10,77,C
1987,7,11,76,C
1987,7,12,73,C
1987,7,13,75,C
1987,7,14,81,C
1987,7,15,74,C
1987,7,16,74,C
1987,7,17,81,C
1987,7,18,86,C
1987,7,19,81,C
1987,7,20,76,C
1987,7,21,74,C
1987,7,22,86,C
1987,7,23,87,C
1987,7,24,83,C
1987,7,25,88,C
1987,7,26,88,C
1987,7,27,84,C
1987,7,28,89,C
1987,7,29,87,C
1987,7,30,91,C
1987,7,31,80,C
1987,8,1,77,C
1987,8,2,80,C
1987,8,3,75,C
1987,8,4,75,C
1987,8,5,75,C
1987,8,6,77,C
1987,8,7,78,C
1987,8,8,79,C
1987,8,9,75,C
1987,8,10,76,C
1987,8,11,79,C
1987,8,12,73,C
1987,8,13,72,C
1987,8,14,73,C
1987,8,15,79,C
1987,8,16,84,C
1987,8,17,83,C
1987,8,18,78,C
1987,8,19,78,C
1987,8,20,78,C
1987,8,21,80,C
1987,8,22,80,C
1987,8,23,81,C
1987,8,24,81,C
1987,8,25,80,C
1987,8,26,75,C
1987,8,27,77,C
1987,8,28,76,C
1987,8,29,78,C
1987,8,30,82,C
1987,8,31,81,C
1987,9,1,83,C
1987,9,2,79,C
1987,9,3,76,C
