平均相對濕度(百分比) - 上水
Mean Relative Humidity (%) - Sheung Shui
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,66,C
2023,1,2,64,C
2023,1,3,70,C
2023,1,4,72,C
2023,1,5,75,C
2023,1,6,62,C
2023,1,7,55,C
2023,1,8,60,C
2023,1,9,76,C
2023,1,10,95,C
2023,1,11,93,C
2023,1,12,89,C
2023,1,13,97,C
2023,1,14,92,C
2023,1,15,75,C
2023,1,16,62,C
2023,1,17,68,C
2023,1,18,56,C
2023,1,19,67,C
2023,1,20,62,C
2023,1,21,81,C
2023,1,22,82,C
2023,1,23,87,C
2023,1,24,47,C
2023,1,25,46,C
2023,1,26,64,C
2023,1,27,42,C
2023,1,28,27,C
2023,1,29,33,C
2023,1,30,54,C
2023,1,31,65,C
2023,2,1,75,C
2023,2,2,80,#
2023,2,3,72,C
2023,2,4,81,C
2023,2,5,85,C
2023,2,6,86,C
2023,2,7,83,C
2023,2,8,83,C
2023,2,9,82,C
2023,2,10,87,C
2023,2,11,89,C
2023,2,12,88,C
2023,2,13,85,C
2023,2,14,60,C
2023,2,15,55,C
2023,2,16,55,C
2023,2,17,64,C
2023,2,18,73,C
2023,2,19,67,C
2023,2,20,59,C
2023,2,21,65,C
2023,2,22,60,C
2023,2,23,66,C
2023,2,24,61,C
2023,2,25,52,C
2023,2,26,54,C
2023,2,27,58,C
2023,2,28,66,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
