平均相對濕度(百分比) - 上水
Mean Relative Humidity (%) - Sheung Shui
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2004,7,9,75,C
2004,7,10,82,C
2004,7,11,84,C
2004,7,12,78,C
2004,7,13,86,C
2004,7,14,77,C
2004,7,15,74,C
2004,7,16,91,C
2004,7,17,93,C
2004,7,18,79,C
2004,7,19,87,C
2004,7,20,91,C
2004,7,21,93,C
2004,7,22,77,C
2004,7,23,77,C
2004,7,24,76,C
2004,7,25,75,C
2004,7,26,76,C
2004,7,27,78,C
2004,7,28,87,C
2004,7,29,97,C
2004,7,30,90,C
2004,7,31,82,C
2004,8,1,79,C
2004,8,2,77,C
2004,8,3,76,C
2004,8,4,84,C
2004,8,5,91,C
2004,8,6,90,C
2004,8,7,80,C
2004,8,8,84,C
2004,8,9,80,C
2004,8,10,74,C
2004,8,11,87,C
2004,8,12,87,C
2004,8,13,78,C
2004,8,14,76,C
2004,8,15,78,C
2004,8,16,76,C
2004,8,17,76,C
2004,8,18,84,C
2004,8,19,85,C
2004,8,20,88,C
2004,8,21,97,C
2004,8,22,96,C
2004,8,23,91,C
2004,8,24,89,C
2004,8,25,75,C
2004,8,26,80,C
2004,8,27,97,C
2004,8,28,92,C
2004,8,29,96,C
2004,8,30,91,C
2004,8,31,92,C
2004,9,1,82,C
2004,9,2,77,C
2004,9,3,82,C
2004,9,4,85,C
2004,9,5,84,C
2004,9,6,87,C
2004,9,7,88,C
2004,9,8,92,C
2004,9,9,98,C
2004,9,10,85,C
2004,9,11,71,C
2004,9,12,71,C
2004,9,13,68,C
2004,9,14,71,C
2004,9,15,73,C
2004,9,16,77,C
2004,9,17,84,C
2004,9,18,81,C
2004,9,19,85,C
2004,9,20,85,C
2004,9,21,84,C
2004,9,22,80,C
2004,9,23,69,C
2004,9,24,81,C
2004,9,25,77,C
2004,9,26,71,C
2004,9,27,71,C
2004,9,28,75,C
2004,9,29,76,C
2004,9,30,75,C
2004,10,1,77,C
2004,10,2,56,C
2004,10,3,51,C
2004,10,4,58,C
2004,10,5,66,C
2004,10,6,67,C
2004,10,7,70,C
2004,10,8,63,C
2004,10,9,66,C
2004,10,10,74,C
2004,10,11,79,C
2004,10,12,72,C
2004,10,13,68,C
2004,10,14,71,C
2004,10,15,67,C
2004,10,16,75,C
2004,10,17,78,C
2004,10,18,63,C
2004,10,19,60,C
2004,10,20,66,C
2004,10,21,73,C
2004,10,22,73,C
2004,10,23,65,C
2004,10,24,67,C
2004,10,25,65,C
2004,10,26,53,C
2004,10,27,62,C
2004,10,28,73,C
2004,10,29,70,C
2004,10,30,75,C
2004,10,31,81,C
2004,11,1,75,C
2004,11,2,71,C
2004,11,3,76,C
2004,11,4,68,C
2004,11,5,80,C
2004,11,6,79,C
2004,11,7,77,C
2004,11,8,76,C
2004,11,9,84,C
2004,11,10,85,C
2004,11,11,84,C
2004,11,12,82,C
2004,11,13,79,C
2004,11,14,84,C
2004,11,15,73,C
2004,11,16,76,C
2004,11,17,70,C
2004,11,18,59,C
2004,11,19,63,C
2004,11,20,77,C
2004,11,21,78,C
2004,11,22,78,C
2004,11,23,82,C
2004,11,24,81,C
2004,11,25,81,C
2004,11,26,66,C
2004,11,27,70,C
2004,11,28,73,C
2004,11,29,74,C
2004,11,30,76,C
2004,12,1,77,C
2004,12,2,80,C
2004,12,3,71,C
2004,12,4,63,C
2004,12,5,58,C
2004,12,6,73,C
2004,12,7,48,C
2004,12,8,56,C
2004,12,9,72,C
2004,12,10,73,C
2004,12,11,78,C
2004,12,12,63,C
2004,12,13,63,C
2004,12,14,70,C
2004,12,15,81,C
2004,12,16,75,C
2004,12,17,77,C
2004,12,18,84,C
2004,12,19,83,C
2004,12,20,82,C
2004,12,21,73,C
2004,12,22,79,C
2004,12,23,82,C
2004,12,24,73,C
2004,12,25,75,C
2004,12,26,76,C
2004,12,27,73,C
2004,12,28,76,C
2004,12,29,72,C
2004,12,30,72,C
2004,12,31,45,C
2005,1,1,39,C
2005,1,2,54,C
2005,1,3,68,C
2005,1,4,66,C
2005,1,5,77,C
2005,1,6,73,C
2005,1,7,76,C
2005,1,8,73,C
2005,1,9,64,C
2005,1,10,71,C
2005,1,11,75,C
2005,1,12,69,C
2005,1,13,81,C
2005,1,14,59,C
2005,1,15,51,C
2005,1,16,59,C
2005,1,17,70,C
2005,1,18,73,C
2005,1,19,81,C
2005,1,20,83,C
2005,1,21,75,C
2005,1,22,83,C
2005,1,23,82,C
2005,1,24,81,C
2005,1,25,87,C
2005,1,26,91,C
2005,1,27,84,C
2005,1,28,95,C
2005,1,29,94,C
2005,1,30,95,C
2005,1,31,79,C
2005,2,1,70,C
2005,2,2,87,C
2005,2,3,93,C
2005,2,4,92,C
2005,2,5,93,C
2005,2,6,91,C
2005,2,7,86,#
2005,2,8,89,C
2005,2,9,84,C
2005,2,10,78,C
2005,2,11,72,C
2005,2,12,76,C
