平均相對濕度(百分比) - 大老山
Mean Relative Humidity (%) - Tate's Cairn
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,78,C
2023,1,2,77,C
2023,1,3,87,C
2023,1,4,93,C
2023,1,5,87,C
2023,1,6,66,C
2023,1,7,68,C
2023,1,8,64,C
2023,1,9,86,C
2023,1,10,100,C
2023,1,11,100,C
2023,1,12,100,C
2023,1,13,100,C
2023,1,14,97,C
2023,1,15,94,C
2023,1,16,86,C
2023,1,17,90,C
2023,1,18,69,C
2023,1,19,68,C
2023,1,20,73,C
2023,1,21,100,C
2023,1,22,95,C
2023,1,23,90,C
2023,1,24,62,C
2023,1,25,66,C
2023,1,26,78,C
2023,1,27,52,C
2023,1,28,26,C
2023,1,29,31,C
2023,1,30,40,C
2023,1,31,69,C
2023,2,1,96,C
2023,2,2,97,C
2023,2,3,92,C
2023,2,4,98,C
2023,2,5,100,C
2023,2,6,100,C
2023,2,7,95,C
2023,2,8,100,C
2023,2,9,99,#
2023,2,10,99,C
2023,2,11,100,C
2023,2,12,100,C
2023,2,13,98,C
2023,2,14,80,C
2023,2,15,74,C
2023,2,16,76,C
2023,2,17,75,C
2023,2,18,68,C
2023,2,19,77,C
2023,2,20,78,C
2023,2,21,80,C
2023,2,22,77,C
2023,2,23,84,C
2023,2,24,71,C
2023,2,25,67,C
2023,2,26,72,C
2023,2,27,73,C
2023,2,28,84,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
