平均相對濕度(百分比) - 大老山
Mean Relative Humidity (%) - Tate's Cairn
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
1997,12,18,***,
1997,12,19,***,
1997,12,20,***,
1997,12,21,***,
1997,12,22,***,
1997,12,23,***,
1997,12,24,***,
1997,12,25,***,
1997,12,26,***,
1997,12,27,***,
1997,12,28,***,
1997,12,29,***,
1997,12,30,***,
1997,12,31,***,
1998,1,1,***,
1998,1,2,***,
1998,1,3,***,
1998,1,4,***,
1998,1,5,***,
1998,1,6,***,
1998,1,7,***,
1998,1,8,***,
1998,1,9,***,
1998,1,10,***,
1998,1,11,***,
1998,1,12,***,
1998,1,13,***,
1998,1,14,***,
1998,1,15,***,
1998,1,16,***,
1998,1,17,***,
1998,1,18,***,
1998,1,19,***,
1998,1,20,***,
1998,1,21,***,
1998,1,22,***,
1998,1,23,***,
1998,1,24,***,
1998,1,25,***,
1998,1,26,***,
1998,1,27,***,
1998,1,28,***,
1998,1,29,***,
1998,1,30,***,
1998,1,31,***,
1998,2,1,***,
1998,2,2,***,
1998,2,3,***,
1998,2,4,***,
1998,2,5,***,
1998,2,6,***,
1998,2,7,***,
1998,2,8,***,
1998,2,9,***,
1998,2,10,***,
1998,2,11,***,
1998,2,12,***,
1998,2,13,***,
1998,2,14,***,
1998,2,15,***,
1998,2,16,***,
1998,2,17,***,
1998,2,18,***,
1998,2,19,***,
1998,2,20,***,
1998,2,21,***,
1998,2,22,***,
1998,2,23,***,
1998,2,24,***,
1998,2,25,***,
1998,2,26,***,
1998,2,27,***,
1998,2,28,***,
1998,3,1,***,
1998,3,2,***,
1998,3,3,***,
1998,3,4,***,
1998,3,5,***,
1998,3,6,***,
1998,3,7,***,
1998,3,8,***,
1998,3,9,***,
1998,3,10,***,
1998,3,11,***,
1998,3,12,***,
1998,3,13,***,
1998,3,14,***,
1998,3,15,***,
1998,3,16,***,
1998,3,17,***,
1998,3,18,***,
1998,3,19,***,
1998,3,20,***,
1998,3,21,***,
1998,3,22,***,
1998,3,23,***,
1998,3,24,***,
1998,3,25,***,
1998,3,26,***,
1998,3,27,***,
1998,3,28,***,
1998,3,29,***,
1998,3,30,***,
1998,3,31,***,
1998,4,1,***,
1998,4,2,***,
1998,4,3,***,
