平均相對濕度(百分比) - 荃灣
Mean Relative Humidity (%) - Tsuen Wan
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,68,C
2023,1,3,76,C
2023,1,4,79,C
2023,1,5,81,C
2023,1,6,67,C
2023,1,7,57,C
2023,1,8,53,C
2023,1,9,76,C
2023,1,10,95,C
2023,1,11,92,C
2023,1,12,92,C
2023,1,13,99,C
2023,1,14,96,C
2023,1,15,80,C
2023,1,16,69,C
2023,1,17,77,C
2023,1,18,61,C
2023,1,19,68,C
2023,1,20,68,C
2023,1,21,81,C
2023,1,22,85,C
2023,1,23,88,C
2023,1,24,54,C
2023,1,25,56,C
2023,1,26,73,C
2023,1,27,47,C
2023,1,28,27,C
2023,1,29,36,C
2023,1,30,46,C
2023,1,31,63,C
2023,2,1,82,C
2023,2,2,81,C
2023,2,3,75,C
2023,2,4,81,C
2023,2,5,84,C
2023,2,6,86,C
2023,2,7,86,C
2023,2,8,88,C
2023,2,9,83,C
2023,2,10,88,C
2023,2,11,88,C
2023,2,12,88,C
2023,2,13,86,C
2023,2,14,65,C
2023,2,15,63,C
2023,2,16,64,C
2023,2,17,74,C
2023,2,18,72,C
2023,2,19,76,C
2023,2,20,68,C
2023,2,21,68,C
2023,2,22,67,C
2023,2,23,74,C
2023,2,24,68,C
2023,2,25,57,C
2023,2,26,61,C
2023,2,27,62,C
2023,2,28,70,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
