平均相對濕度(百分比) - 荃灣城門谷
Mean Relative Humidity (%) - Tsuen Wan Shing Mun Valley
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2010,12,7,44,C
2010,12,8,35,C
2010,12,9,49,C
2010,12,10,70,C
2010,12,11,67,C
2010,12,12,82,C
2010,12,13,85,C
2010,12,14,84,C
2010,12,15,88,C
2010,12,16,65,C
2010,12,17,48,C
2010,12,18,65,C
2010,12,19,75,C
2010,12,20,73,C
2010,12,21,75,C
2010,12,22,60,C
2010,12,23,65,C
2010,12,24,67,C
2010,12,25,75,C
2010,12,26,38,C
2010,12,27,59,C
2010,12,28,61,C
2010,12,29,72,C
2010,12,30,56,C
2010,12,31,34,C
2011,1,1,47,C
2011,1,2,57,C
2011,1,3,69,C
2011,1,4,82,C
2011,1,5,76,C
2011,1,6,66,C
2011,1,7,58,C
2011,1,8,65,C
2011,1,9,58,C
2011,1,10,50,C
2011,1,11,59,C
2011,1,12,85,C
2011,1,13,77,C
2011,1,14,74,C
2011,1,15,54,C
2011,1,16,51,C
2011,1,17,55,C
2011,1,18,66,C
2011,1,19,70,C
2011,1,20,65,C
2011,1,21,56,C
2011,1,22,66,C
2011,1,23,63,C
2011,1,24,58,C
2011,1,25,65,C
2011,1,26,69,C
2011,1,27,70,C
2011,1,28,64,C
2011,1,29,45,C
2011,1,30,44,C
2011,1,31,52,C
2011,2,1,65,C
2011,2,2,62,C
2011,2,3,66,C
2011,2,4,74,C
2011,2,5,65,C
2011,2,6,59,C
2011,2,7,57,C
2011,2,8,73,C
2011,2,9,74,C
2011,2,10,70,C
2011,2,11,69,C
2011,2,12,66,C
2011,2,13,82,C
2011,2,14,69,C
2011,2,15,79,C
2011,2,16,87,C
2011,2,17,90,C
2011,2,18,86,C
2011,2,19,89,C
2011,2,20,76,C
2011,2,21,75,C
2011,2,22,51,C
2011,2,23,61,C
2011,2,24,78,C
2011,2,25,73,C
2011,2,26,66,C
2011,2,27,76,C
2011,2,28,72,C
2011,3,1,76,C
2011,3,2,68,C
2011,3,3,68,C
2011,3,4,63,C
2011,3,5,64,C
2011,3,6,78,C
2011,3,7,64,C
2011,3,8,66,C
2011,3,9,53,C
2011,3,10,60,C
2011,3,11,69,C
2011,3,12,74,C
2011,3,13,79,C
2011,3,14,76,C
2011,3,15,75,C
2011,3,16,44,C
2011,3,17,46,C
2011,3,18,74,C
2011,3,19,90,C
2011,3,20,92,C
2011,3,21,82,C
2011,3,22,75,C
2011,3,23,65,C
2011,3,24,65,C
2011,3,25,55,C
2011,3,26,54,C
2011,3,27,67,C
2011,3,28,55,C
2011,3,29,48,C
2011,3,30,39,#
2011,3,31,36,C
2011,4,1,62,C
