平均相對濕度(百分比) - 新青衣站
Mean Relative Humidity (%) - New Tsing Yi Station
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,63,C
2023,1,2,64,C
2023,1,3,70,C
2023,1,4,74,C
2023,1,5,79,C
2023,1,6,65,C
2023,1,7,56,C
2023,1,8,50,C
2023,1,9,71,C
2023,1,10,91,C
2023,1,11,86,C
2023,1,12,87,C
2023,1,13,97,C
2023,1,14,95,C
2023,1,15,78,C
2023,1,16,65,C
2023,1,17,72,C
2023,1,18,58,C
2023,1,19,64,C
2023,1,20,62,C
2023,1,21,77,C
2023,1,22,82,C
2023,1,23,89,C
2023,1,24,49,C
2023,1,25,52,C
2023,1,26,65,C
2023,1,27,45,C
2023,1,28,26,C
2023,1,29,35,C
2023,1,30,46,C
2023,1,31,61,C
2023,2,1,79,C
2023,2,2,79,C
2023,2,3,72,C
2023,2,4,78,C
2023,2,5,80,C
2023,2,6,84,C
2023,2,7,83,C
2023,2,8,83,C
2023,2,9,80,C
2023,2,10,84,C
2023,2,11,87,C
2023,2,12,87,C
2023,2,13,85,C
2023,2,14,62,C
2023,2,15,59,C
2023,2,16,61,C
2023,2,17,72,C
2023,2,18,66,C
2023,2,19,70,C
2023,2,20,63,C
2023,2,21,63,C
2023,2,22,61,C
2023,2,23,71,C
2023,2,24,68,C
2023,2,25,54,C
2023,2,26,57,C
2023,2,27,58,C
2023,2,28,68,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
