平均相對濕度(百分比) - 北潭涌(鯽魚湖)
Mean Relative Humidity (%) - Pak Tam Chung (Tsak Yue Wu)
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,74,C
2023,1,2,73,C
2023,1,3,76,C
2023,1,4,81,C
2023,1,5,84,C
2023,1,6,70,C
2023,1,7,67,C
2023,1,8,73,C
2023,1,9,88,C
2023,1,10,96,C
2023,1,11,92,C
2023,1,12,91,C
2023,1,13,98,C
2023,1,14,93,C
2023,1,15,82,C
2023,1,16,70,C
2023,1,17,73,C
2023,1,18,69,C
2023,1,19,81,C
2023,1,20,71,C
2023,1,21,83,C
2023,1,22,89,C
2023,1,23,92,C
2023,1,24,52,C
2023,1,25,61,C
2023,1,26,79,C
2023,1,27,47,C
2023,1,28,42,C
2023,1,29,53,C
2023,1,30,72,C
2023,1,31,77,C
2023,2,1,85,C
2023,2,2,86,C
2023,2,3,80,C
2023,2,4,87,C
2023,2,5,90,C
2023,2,6,93,C
2023,2,7,90,C
2023,2,8,87,C
2023,2,9,88,C
2023,2,10,92,C
2023,2,11,94,C
2023,2,12,95,C
2023,2,13,92,C
2023,2,14,66,C
2023,2,15,68,C
2023,2,16,67,C
2023,2,17,77,C
2023,2,18,94,#
2023,2,19,***,
2023,2,20,***,
2023,2,21,63,#
2023,2,22,72,C
2023,2,23,79,C
2023,2,24,71,C
2023,2,25,58,C
2023,2,26,63,C
2023,2,27,69,C
2023,2,28,80,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
