平均相對濕度(百分比) - 濕地公園
Mean Relative Humidity (%) - Wetland Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,73,C
2023,1,2,70,C
2023,1,3,72,C
2023,1,4,76,C
2023,1,5,80,C
2023,1,6,71,C
2023,1,7,62,C
2023,1,8,65,C
2023,1,9,80,C
2023,1,10,98,C
2023,1,11,94,C
2023,1,12,90,C
2023,1,13,98,C
2023,1,14,93,C
2023,1,15,82,C
2023,1,16,66,C
2023,1,17,75,C
2023,1,18,63,C
2023,1,19,75,C
2023,1,20,69,C
2023,1,21,86,C
2023,1,22,86,C
2023,1,23,89,C
2023,1,24,52,C
2023,1,25,51,C
2023,1,26,70,C
2023,1,27,50,C
2023,1,28,33,C
2023,1,29,43,C
2023,1,30,64,C
2023,1,31,74,C
2023,2,1,84,C
2023,2,2,83,C
2023,2,3,77,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,89,C
2023,2,7,87,C
2023,2,8,85,C
2023,2,9,85,C
2023,2,10,90,C
2023,2,11,87,C
2023,2,12,85,C
2023,2,13,85,C
2023,2,14,67,C
2023,2,15,58,C
2023,2,16,59,C
2023,2,17,73,C
2023,2,18,78,C
2023,2,19,72,C
2023,2,20,63,C
2023,2,21,72,C
2023,2,22,68,C
2023,2,23,77,C
2023,2,24,71,C
2023,2,25,56,C
2023,2,26,60,C
2023,2,27,67,C
2023,2,28,77,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
